WETLAND - PLANT REMOVAL/ CONTROL,wetland_plantrem,,,
WATER QUALITY IMPROVEMENT - STORMWATER/WASTEWATER,wqimp_wastewater,,,
WATER QUALITY IMPROVEMENT - RETURN FLOW COOLING,wqimp_flowcool,,,
WATER QUALITY IMPROVEMENT - LIVESTOCK MANURE MANAGEMENT,wqimp_manure,,,
ESTUARY/ NEARSHORE - INVASIVE SPECIES TREATED,est_invasive,,,
PROJECT MAINTENANCE - SITE MAINTENANCE,projmaint_sitemaint,,,
INSTREAM - BEAVER INTRODUCTION,instream_beaver,,,
ESTUARY/ NEARSHORE - CREATION OF NEW ESTUARINE HABITAT,est_create,,,
FISH PASSAGE IMPROVEMENT - ROCKED FORD- ROAD STREAM CROSSING,fishpass_rockford,,,
WATER QUALITY IMPROVEMENT - SEWAGE CLEAN-UP,wqimp_sewage,,,
