project_id,worksite_id,project_year,county,state,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv,geometry,id,comid,reachcode,reach_meas,offset,slope,upst_dist
BLM - BLM_1353,BLM - BLM_1353-WS-1,2004,NA,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,104028.95969235488,TRUE,"c(-123.16036, 43.43086)",13,24527640,17100303000488,55.464459109792244,6.009254090431481e-4,0.01493012,5.0169999999999995
BLM - BLM_1356,BLM - BLM_1356-WS-1,2004,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,"c(-123.43634, 43.80262)",14,24527950,17100303000641,60.93788503007951,0.0017853882211005224,0.03833086,3.523
BLM - BLM_1356,BLM - BLM_1356-WS-2,2004,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,"c(-123.43562, 43.80723)",15,24527950,17100303000641,68.52479020182776,3.5416801016866076e-4,0.03833086,3.523
BLM - BLM_1356,BLM - BLM_1356-WS-3,2004,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,"c(-123.44293, 43.79672)",16,24527950,17100303000641,31.790380305966977,0.004588033114052247,0.03833086,3.523
BLM - BLM_1356,BLM - BLM_1356-WS-4,2004,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,"c(-123.43906, 43.79487)",17,24527950,17100303000641,31.790380305966977,4.0495943538465106e-4,0.03833086,3.523
BLM - BLM_290,BLM - BLM_290-WS-1,2002,NA,OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,83164.4468572063,TRUE,"c(-123.62888, 42.90235)",18,23901135,17100302000117,13.079463978617625,3.609228100625379e-4,0.01711564,6.807
BLM - BLM_291,BLM - BLM_291-WS-1,2002,NA,OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,83164.4468572063,TRUE,"c(-123.63035, 42.90288)",19,23902597,17100302000837,4.0012929118460505,5.117053404495437e-4,0.10634078,4.846
BLM - BLM_292,BLM - BLM_292-WS-1,2002,NA,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,42275.26048574654,TRUE,"c(-123.73456, 43.02688)",20,23915891,17100305000717,24.527489309320117,4.7624976860612524e-4,0.08268265,3.736
BLM - BLM_293,BLM - BLM_293-WS-1,2002,NA,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187120.0054287142,TRUE,"c(-123.73714, 43.01435)",21,23915911,17100305000727,11.814447888474604,2.9715616105001e-4,0.0887546,2.864
BLM - BLM_293,BLM - BLM_293-WS-2,2002,NA,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187120.0054287142,TRUE,"c(-123.74237, 43.02064)",22,23915915,17100305000729,63.24032253018067,0.0033896308237710542,0.02633254,2.693
BLM - BLM_296,BLM - BLM_296-WS-1,2002,NA,OR,UPPER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,161158.83726812297,TRUE,"c(-123.06959, 43.09642)",23,23901969,17100302000533,95.07748388894666,6.002563149151241e-4,0.02758233,11.908
BLM - BLM_297,BLM - BLM_297-WS-1,2002,NA,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,47819.55694289363,TRUE,"c(-123.16723, 43.66909)",24,24528396,17100303000860,90.26472011182898,0.0036630844180860172,0.02632675,3.798
BLM - BLM_298,BLM - BLM_298-WS-1,2002,NA,OR,LOWER CANTON CREEK,CANTON CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,109504.01325099784,TRUE,"c(-122.76955, 43.44292)",25,23894706,17100301000356,63.10320735013801,6.335528603855281e-4,0.02272572,74.553
BLM - BLM_299,BLM - BLM_299-WS-1,2002,NA,OR,LOWER ROCK CREEK,ROCK CREEK/NORTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,143035.91822382342,TRUE,"c(-122.92389, 43.38764)",26,23895218,17100301000594,21.9659773768157,0.0012039494632457579,0.14628117,4.56
BLM - BLM_300,BLM - BLM_300-WS-1,2002,NA,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,199955.0517270097,TRUE,"c(-123.12266, 43.39122)",27,24526978,17100303000185,16.32436967612572,5.026506046789295e-4,0.04034148,4.167
BLM - BLM_300,BLM - BLM_300-WS-2,2002,NA,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,199955.0517270097,TRUE,"c(-123.11277, 43.41042)",28,24526974,17100303000183,0,5.11001790375653e-4,0.01895454,11.128
BLM - BLM_301,BLM - BLM_301-WS-1,2002,NA,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,138607.41142867718,TRUE,"c(-123.01903, 43.18397)",29,23895796,17100301000868,34.78274382125534,0.001452503528255591,0.17257467,2.259
BLM - BLM_302,BLM - BLM_302-WS-1,2002,NA,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE,"c(-123.39823, 43.57981)",30,24527146,17100303000264,32.099586678981424,2.8158246655468383e-4,0.09028071,2.893
BLM - BLM_302,BLM - BLM_302-WS-2,2002,NA,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE,"c(-123.39035, 43.58935)",31,24528468,17100303000896,0,6.351814372944377e-4,0.04991009,2.598
BLM - BLM_302,BLM - BLM_302-WS-3,2002,NA,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE,"c(-123.39385, 43.56648)",32,24527146,17100303000264,80.95793720527588,4.241860380144712e-4,0.09028071,2.893
BLM - BLM_303,BLM - BLM_303-WS-1,2002,NA,OR,WOLF CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,175691.82435641976,TRUE,"c(-123.58771, 43.42371)",33,24526862,17100303000131,33.76228058155293,8.695456021026547e-4,0.01308602,15.644
BLM - BLM_304,BLM - BLM_304-WS-1,2002,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,121281.48500009254,TRUE,"c(-123.4543, 43.46313)",34,24528706,17100303001013,15.443399569989765,4.4825497931614514e-4,0.13569547,3.795
BLM - BLM_304,BLM - BLM_304-WS-2,2002,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,121281.48500009254,TRUE,"c(-123.4556, 43.46191)",35,24528706,17100303001013,19.584460945447674,4.201965290263093e-4,0.13569547,3.795
BLM - BLM_306,BLM - BLM_306-WS-1,2002,NA,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,110885.92914294175,TRUE,"c(-123.08047, 43.16684)",36,23895846,17100301000889,100,0.0040184024650050275,0.03433504,4.234
BLM - BLM_307,BLM - BLM_307-WS-1,2002,NA,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,166328.8937144126,TRUE,"c(-122.98997, 43.19372)",37,23895758,17100301000850,100,3.536641532133807e-4,0.11291244,3.508
BLM - BLM_441,BLM - BLM_441-WS-1,2002,NA,OR,PANTHER CREEK,NORTH YAMHILL RIVER,WILLAMETTE,WILLAMETTE,BLM,49898.66811432379,TRUE,"c(-123.33552, 45.30256)",38,23796607,17090008000069,38.75083667526318,2.836475412078482e-4,0.02981228,8.935
BLM - BLM_5007,BLM - BLM_5007-WS-1,2005,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,98636.0825833169,TRUE,"c(-124.03114, 43.69488)",39,24528896,17100303000734,15.611006966856024,3.0856845865162856e-4,0.03098906,2.071
BLM - BLM_5007,BLM - BLM_5007-WS-2,2005,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,98636.0825833169,TRUE,"c(-124.03072, 43.69235)",40,24528896,17100303000734,28.48840482646368,5.02636369901642e-4,0.03098906,2.071
BLM - BLM_5008,BLM - BLM_5008-WS-1,2005,NA,OR,SPENCER CREEK-JOHNSON CREEK,LOWER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,131857.4862937891,TRUE,"c(-123.90201, 43.78225)",41,24527350,17100303000347,13.973929827294327,7.715622647181522e-4,1.7991e-4,508.848
BLM - BLM_5013,BLM - BLM_5013-WS-1,2005,NA,OR,MEHL CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,61687.7128859832,TRUE,"c(-123.6211, 43.60798)",42,24527628,17100303000483,9.470029250237232,5.888262666066297e-4,0.06493923,5.911
BLM - BLM_5047,BLM - BLM_5047-WS-1,2005,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,284475.4582950818,TRUE,"c(-123.55189, 43.44261)",43,24528964,17100303001016,11.199050160796347,2.4068153132462172e-4,0.09282371,2.628
BLM - BLM_5047,BLM - BLM_5047-WS-2,2005,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,284475.4582950818,TRUE,"c(-123.55194, 43.42767)",44,24528964,17100303001016,65.8211825974146,0.001545177319439287,0.09282371,2.628
BLM - BLM_5048,BLM - BLM_5048-WS-1,2005,NA,OR,UPPER PASS CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,124609.18002968606,TRUE,"c(-123.20411, 43.74534)",45,24528204,17100303000766,31.214603537169097,1.1472047029297179e-4,0.05166,4.15
BLM - BLM_5050,BLM - BLM_5050-WS-1,2005,NA,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,250088.4138432015,TRUE,"c(-123.12578, 43.1435)",46,23902001,17100302000549,12.736769840220148,4.973303501285853e-4,0.04891324,5.533
BLM - BLM_5051,BLM - BLM_5051-WS-1,2005,NA,OR,SHIVELY CREEK,SOUTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,331527.76129886543,TRUE,"c(-123.17283, 42.94083)",47,23903245,17100302001151,77.00976429896424,4.627464027236125e-4,0.02035842,12.257
BLM - BLM_5053,BLM - BLM_5053-WS-1,2005,NA,OR,LOWER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,264333.1348771231,TRUE,"c(-123.16142, 43.04954)",48,23903099,17100302001084,41.378228481583534,4.344021565959335e-4,0.04206561,3.96
BLM - BLM_5054,BLM - BLM_5054-WS-1,2005,NA,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,268619.14576201385,TRUE,"c(-123.08859, 43.14066)",49,23903001,17100302001036,43.49831771873484,0.001315626327418908,0.06213341,7.031
BLM - BLM_5065,BLM - BLM_5065-WS-1,2005,NA,OR,NORTH FORK SILVER CREEK,SILVER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,91246.40864385015,TRUE,"c(-123.73007, 42.53517)",50,23945499,17100311000285,21.223355860538945,5.227742931890073e-4,0.04385576,3.27
BLM - BLM_5066,BLM - BLM_5066-WS-1,2005,NA,OR,NORTH FORK SILVER CREEK,SILVER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,100242.5334397227,TRUE,"c(-123.73309, 42.53307)",51,23945499,17100311000285,10.004248658336579,5.13832539769461e-4,0.04385576,3.27
BLM - BLM_5068,BLM - BLM_5068-WS-1,2005,NA,OR,LOWER DEER CREEK,DEER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,154219.282214958,TRUE,"c(-123.5776, 42.30846)",52,23945419,17100311000245,19.74966378368842,5.193899228897219e-4,0.01787292,6.545
BLM - BLM_5069,BLM - BLM_5069-WS-1,2005,NA,OR,MCMULLIN CREEK,DEER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,154219.282214958,TRUE,"c(-123.52168, 42.2146)",53,23945387,17100311000229,42.81504581005563,6.742998759386654e-4,0.05430706,2.827
BLM - BLM_5086,BLM - BLM_5086-WS-1,2005,NA,OR,UPPER WILDCAT CREEK,WILDCAT CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,3212.9017128116247,TRUE,"c(-123.45136, 43.99084)",54,23889734,17100206000155,60.93576306496233,3.8309609367589374e-4,0.02427683,4.174
BLM - BLM_5086,BLM - BLM_5086-WS-2,2005,NA,OR,UPPER WILDCAT CREEK,WILDCAT CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,3212.9017128116247,TRUE,"c(-123.45299, 43.98982)",55,23889734,17100206000155,55.782434166065585,4.419637770270127e-4,0.02427683,4.174
BLM - BLM_5086,BLM - BLM_5086-WS-3,2005,NA,OR,UPPER WILDCAT CREEK,WILDCAT CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,3212.9017128116247,TRUE,"c(-123.45511, 43.98588)",56,23889734,17100206000155,49.18856508420091,0.0020032407056151287,0.02427683,4.174
BLM - BLM_5087,BLM - BLM_5087-WS-1,2005,NA,OR,LOWER WOLF CREEK,WOLF CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,5140.6427404986,TRUE,"c(-123.53074, 43.96642)",57,23890338,17100206000433,41.23831212510567,4.4480267979523703e-4,0.00893676,5.8420000000000005
BLM - BLM_5088,BLM - BLM_5088-WS-1,2005,NA,OR,SIUSLAW RIVER-SIUSLAW FALLS,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,1285.16068512465,TRUE,"c(-123.39832, 43.82506)",58,23890560,17100206000543,32.727464593777285,0.0015228832966793474,0.03580114,2.946
BLM - BLM_5088,BLM - BLM_5088-WS-2,2005,NA,OR,SIUSLAW RIVER-SIUSLAW FALLS,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,1285.16068512465,TRUE,"c(-123.39818, 43.82489)",59,23890560,17100206000543,32.727464593777285,0.0015053353001421913,0.03580114,2.946
BLM - BLM_5102,BLM - BLM_5102-WS-1,2006,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,46576.455899293556,TRUE,"c(-124.03314, 43.69023)",60,24528896,17100303000734,43.490971170930706,0.001288862128660104,0.03098906,2.071
BLM - BLM_5112,BLM - BLM_5112-WS-1,2007,NA,OR,SIUSLAW RIVER-SIUSLAW BEND,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,1822.1068850863676,TRUE,"c(-123.52549, 43.86589)",61,23890490,17100206000508,1.5477958263546299,5.046933327843742e-4,0.07522037,2.192
BLM - BLM_5113,BLM - BLM_5113-WS-1,2007,NA,OR,CAMP CREEK,LOWER MCKENZIE RIVER,WILLAMETTE,WILLAMETTE,BLM,174557.839591274,TRUE,"c(-122.80274, 44.12193)",62,23774167,17090004000679,7.599344408428593,8.886842471731851e-4,0.14315642,2.656
BLM - BLM_5142,BLM - BLM_5142-WS-1,2006,NA,OR,UPPER GRAVE CREEK,GRAVE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,158414.83393707237,TRUE,"c(-123.16982, 42.70527)",63,23940791,17100310000239,100,2.599276743062153e-4,0.00969306,16.377
BLM - BLM_5143,BLM - BLM_5143-WS-1,2006,NA,OR,COW CREEK-QUINES CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,224524.96148561436,TRUE,"c(-123.26081, 42.73924)",64,23902195,17100302000641,14.462932424589411,3.726521247173476e-4,0.05251041,6.9
BLM - BLM_5144,BLM - BLM_5144-WS-1,2006,NA,OR,COW CREEK-FORTUNE BRANCH,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,162156.91662849925,TRUE,"c(-123.33239, 42.7632)",65,23902199,17100302000643,18.108427921969707,3.596692796130827e-4,0.04746227,5.652
BLM - BLM_5146,BLM - BLM_5146-WS-1,2006,NA,OR,LOWER GRAVE CREEK,GRAVE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,272520.9140858559,TRUE,"c(-123.55259, 42.65376)",66,23941185,17100310000429,8.807634447466484,3.494652824815749e-4,0.07832317,7.1690000000000005
BLM - BLM_5167,BLM - BLM_5167-WS-1,2006,NA,OR,SUSAN CREEK,MIDDLE NORTH UMPQUA,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,348013.69030270225,TRUE,"c(-122.95162, 43.30863)",67,23895400,17100301000685,39.08966024123461,4.1270211858350915e-4,0.03354577,10.093
BLM - BLM_5175,BLM - BLM_5175-WS-1,2007,NA,WA,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE,"c(-118.41956, 47.62067)",68,24398690,17020013000497,39.82694654538498,0.007675887578448216,0.00567316,24.007
BLM - BLM_5175,BLM - BLM_5175-WS-3,2007,NA,WA,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE,"c(-118.42457, 47.62752)",69,24398658,17020013000483,18.780737498626735,2.484448804754811e-4,0.00309859,22.78
BLM - BLM_5175,BLM - BLM_5175-WS-4,2007,NA,WA,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE,"c(-118.42209, 47.62909)",70,24398658,17020013000483,25.41110942638683,0.0015999267324720988,0.00309859,22.78
BLM - BLM_5175,BLM - BLM_5175-WS-5,2007,NA,WA,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE,"c(-118.42649, 47.62569)",71,24398658,17020013000483,5.1070057649433664,4.618104115359985e-4,0.00309859,22.78
BLM - BLM_5175,BLM - BLM_5175-WS-6,2007,NA,WA,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE,"c(-118.42814, 47.62228)",72,24398690,17020013000497,89.29899307665839,3.706568088099521e-4,0.00567316,24.007
BLM - BLM_5175,BLM - BLM_5175-WS-7,2007,NA,WA,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE,"c(-118.42145, 47.63065)",73,24398658,17020013000483,25.41110942638683,0.002729289703835828,0.00309859,22.78
BLM - BLM_5175,BLM - BLM_5175-WS-8,2007,NA,WA,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE,"c(-118.42103, 47.6356)",74,24398658,17020013000483,59.17593794873093,1.0696814317528946e-4,0.00309859,22.78
BLM - BLM_5180,BLM - BLM_5180-WS-1,2007,NA,OR,COW CREEK-QUINES CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,267242.3431460006,FALSE,"c(-123.23613, 42.72558)",75,23902197,17100302000642,32.303345786710025,0.0025523313312355365,0.09524396,2.098
BLM - BLM_5182,BLM - BLM_5182-WS-1,2007,NA,OR,COW CREEK-MCCULLOUGH CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,121473.79233909117,FALSE,"c(-123.46582, 42.75384)",76,23902889,17100302000983,27.316427463699412,6.63438233378577e-4,0.0618897,4.357
BLM - BLM_5185,BLM - BLM_5185-WS-1,2007,NA,OR,WEST FORK SMITH RIVER-LOWER UMPQUA RIVER,LOWER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,85031.65463736381,TRUE,"c(-123.71445, 43.86234)",77,24527534,17100303000439,14.965046394593955,4.502123663438687e-5,0.0079499,20.36
BLM - BLM_5214,BLM - BLM_5214-WS-1,2005,NA,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,154219.282214958,TRUE,"c(-123.12397, 43.13838)",78,23902989,17100302001030,2.127018955531284,5.821405376437385e-4,0.0583419,4.426
BLM - BLM_5229,BLM - BLM_5229-WS-1,2007,NA,OR,UPPER LAKE CREEK,LAKE CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,1822.1068850863676,TRUE,"c(-123.49094, 44.27091)",79,23890630,17100206000568,63.371867351774796,1.6927557557152375e-4,0.06642926,3.239
BLM - BLM_5231,BLM - BLM_5231-WS-1,2007,NA,OR,UPPER BIG RIVER,UPPER COAST FORK WILLAMETTE RIVER,WILLAMETTE,WILLAMETTE,BLM,168848.57135133672,TRUE,"c(-122.99016, 43.58439)",80,23759360,17090002000058,60.5011316370365,0.001465770524240211,0.01074534,32.505
BLM - BLM_5232,BLM - BLM_5232-WS-1,2007,NA,OR,UPPER BIG RIVER,UPPER COAST FORK WILLAMETTE RIVER,WILLAMETTE,WILLAMETTE,BLM,149048.34320006488,TRUE,"c(-122.95185, 43.57397)",81,23759364,17090002000060,55.81918389452956,4.6239898276516443e-4,0.01620952,9.831
