project_id,worksite_id,project_year,county,state,latitude,longitude,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv
BLM - BLM_293,BLM - BLM_293-WS-1,2002,NA,OR,43.01435,-123.73714,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187120.0054287142,TRUE
BLM - BLM_293,BLM - BLM_293-WS-2,2002,NA,OR,43.02064,-123.74237,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187120.0054287142,TRUE
BLM - BLM_296,BLM - BLM_296-WS-1,2002,NA,OR,43.09642,-123.06959,UPPER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,161158.83726812297,TRUE
BLM - BLM_297,BLM - BLM_297-WS-1,2002,NA,OR,43.66909,-123.16723,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,47819.55694289363,TRUE
BLM - BLM_298,BLM - BLM_298-WS-1,2002,NA,OR,43.44292,-122.76955,LOWER CANTON CREEK,CANTON CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,109504.01325099784,TRUE
BLM - BLM_299,BLM - BLM_299-WS-1,2002,NA,OR,43.38764,-122.92389,LOWER ROCK CREEK,ROCK CREEK/NORTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,143035.91822382342,TRUE
BLM - BLM_300,BLM - BLM_300-WS-1,2002,NA,OR,43.39122,-123.12266,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,199955.0517270097,TRUE
BLM - BLM_300,BLM - BLM_300-WS-2,2002,NA,OR,43.41042,-123.11277,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,199955.0517270097,TRUE
BLM - BLM_301,BLM - BLM_301-WS-1,2002,NA,OR,43.18397,-123.01903,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,138607.41142867718,TRUE
BLM - BLM_302,BLM - BLM_302-WS-1,2002,NA,OR,43.57981,-123.39823,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE
BLM - BLM_302,BLM - BLM_302-WS-2,2002,NA,OR,43.58935,-123.39035,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE
BLM - BLM_302,BLM - BLM_302-WS-3,2002,NA,OR,43.56648,-123.39385,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE
BLM - BLM_303,BLM - BLM_303-WS-1,2002,NA,OR,43.42371,-123.58771,WOLF CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,175691.82435641976,TRUE
BLM - BLM_304,BLM - BLM_304-WS-1,2002,NA,OR,43.46313,-123.4543,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,121281.48500009254,TRUE
BLM - BLM_304,BLM - BLM_304-WS-2,2002,NA,OR,43.46191,-123.4556,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,121281.48500009254,TRUE
BLM - BLM_306,BLM - BLM_306-WS-1,2002,NA,OR,43.16684,-123.08047,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,110885.92914294175,TRUE
BLM - BLM_307,BLM - BLM_307-WS-1,2002,NA,OR,43.19372,-122.98997,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,166328.8937144126,TRUE
BLM - BLM_441,BLM - BLM_441-WS-1,2002,NA,OR,45.30256,-123.33552,PANTHER CREEK,NORTH YAMHILL RIVER,WILLAMETTE,WILLAMETTE,BLM,49898.66811432379,TRUE
BLM - BLM_5007,BLM - BLM_5007-WS-1,2005,NA,OR,43.69488,-124.03114,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,98636.0825833169,TRUE
BLM - BLM_5007,BLM - BLM_5007-WS-2,2005,NA,OR,43.69235,-124.03072,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,98636.0825833169,TRUE
BLM - BLM_5008,BLM - BLM_5008-WS-1,2005,NA,OR,43.78225,-123.90201,SPENCER CREEK-JOHNSON CREEK,LOWER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,131857.4862937891,TRUE
BLM - BLM_5013,BLM - BLM_5013-WS-1,2005,NA,OR,43.60798,-123.6211,MEHL CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,61687.7128859832,TRUE
BLM - BLM_5047,BLM - BLM_5047-WS-1,2005,NA,OR,43.44261,-123.55189,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,284475.4582950818,TRUE
BLM - BLM_5047,BLM - BLM_5047-WS-2,2005,NA,OR,43.42767,-123.55194,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,284475.4582950818,TRUE
BLM - BLM_5048,BLM - BLM_5048-WS-1,2005,NA,OR,43.74534,-123.20411,UPPER PASS CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,124609.18002968606,TRUE
BLM - BLM_5050,BLM - BLM_5050-WS-1,2005,NA,OR,43.1435,-123.12578,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,250088.4138432015,TRUE
BLM - BLM_5051,BLM - BLM_5051-WS-1,2005,NA,OR,42.94083,-123.17283,SHIVELY CREEK,SOUTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,331527.76129886543,TRUE
BLM - BLM_5053,BLM - BLM_5053-WS-1,2005,NA,OR,43.04954,-123.16142,LOWER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,264333.1348771231,TRUE
BLM - BLM_5054,BLM - BLM_5054-WS-1,2005,NA,OR,43.14066,-123.08859,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,268619.14576201385,TRUE
BLM - BLM_5065,BLM - BLM_5065-WS-1,2005,NA,OR,42.53517,-123.73007,NORTH FORK SILVER CREEK,SILVER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,91246.40864385015,TRUE
BLM - BLM_5066,BLM - BLM_5066-WS-1,2005,NA,OR,42.53307,-123.73309,NORTH FORK SILVER CREEK,SILVER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,100242.5334397227,TRUE
BLM - BLM_5068,BLM - BLM_5068-WS-1,2005,NA,OR,42.30846,-123.5776,LOWER DEER CREEK,DEER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,154219.282214958,TRUE
BLM - BLM_5069,BLM - BLM_5069-WS-1,2005,NA,OR,42.2146,-123.52168,MCMULLIN CREEK,DEER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,154219.282214958,TRUE
BLM - BLM_5086,BLM - BLM_5086-WS-1,2005,NA,OR,43.99084,-123.45136,UPPER WILDCAT CREEK,WILDCAT CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,3212.9017128116247,TRUE
BLM - BLM_5086,BLM - BLM_5086-WS-2,2005,NA,OR,43.98982,-123.45299,UPPER WILDCAT CREEK,WILDCAT CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,3212.9017128116247,TRUE
BLM - BLM_5086,BLM - BLM_5086-WS-3,2005,NA,OR,43.98588,-123.45511,UPPER WILDCAT CREEK,WILDCAT CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,3212.9017128116247,TRUE
BLM - BLM_5087,BLM - BLM_5087-WS-1,2005,NA,OR,43.96642,-123.53074,LOWER WOLF CREEK,WOLF CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,5140.6427404986,TRUE
BLM - BLM_5088,BLM - BLM_5088-WS-1,2005,NA,OR,43.82506,-123.39832,SIUSLAW RIVER-SIUSLAW FALLS,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,1285.16068512465,TRUE
BLM - BLM_5088,BLM - BLM_5088-WS-2,2005,NA,OR,43.82489,-123.39818,SIUSLAW RIVER-SIUSLAW FALLS,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,1285.16068512465,TRUE
BLM - BLM_5102,BLM - BLM_5102-WS-1,2006,NA,OR,43.69023,-124.03314,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,46576.455899293556,TRUE
BLM - BLM_5112,BLM - BLM_5112-WS-1,2007,NA,OR,43.86589,-123.52549,SIUSLAW RIVER-SIUSLAW BEND,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,1822.1068850863676,TRUE
BLM - BLM_5113,BLM - BLM_5113-WS-1,2007,NA,OR,44.12193,-122.80274,CAMP CREEK,LOWER MCKENZIE RIVER,WILLAMETTE,WILLAMETTE,BLM,174557.839591274,TRUE
BLM - BLM_5142,BLM - BLM_5142-WS-1,2006,NA,OR,42.70527,-123.16982,UPPER GRAVE CREEK,GRAVE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,158414.83393707237,TRUE
BLM - BLM_5143,BLM - BLM_5143-WS-1,2006,NA,OR,42.73924,-123.26081,COW CREEK-QUINES CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,224524.96148561436,TRUE
BLM - BLM_5144,BLM - BLM_5144-WS-1,2006,NA,OR,42.7632,-123.33239,COW CREEK-FORTUNE BRANCH,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,162156.91662849925,TRUE
BLM - BLM_5146,BLM - BLM_5146-WS-1,2006,NA,OR,42.65376,-123.55259,LOWER GRAVE CREEK,GRAVE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,272520.9140858559,TRUE
BLM - BLM_5167,BLM - BLM_5167-WS-1,2006,NA,OR,43.30863,-122.95162,SUSAN CREEK,MIDDLE NORTH UMPQUA,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,348013.69030270225,TRUE
BLM - BLM_5175,BLM - BLM_5175-WS-1,2007,NA,WA,47.62067,-118.41956,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE
BLM - BLM_5175,BLM - BLM_5175-WS-3,2007,NA,WA,47.62752,-118.42457,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE
BLM - BLM_5175,BLM - BLM_5175-WS-4,2007,NA,WA,47.62909,-118.42209,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE
BLM - BLM_5175,BLM - BLM_5175-WS-5,2007,NA,WA,47.62569,-118.42649,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE
BLM - BLM_5175,BLM - BLM_5175-WS-6,2007,NA,WA,47.62228,-118.42814,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE
BLM - BLM_5175,BLM - BLM_5175-WS-7,2007,NA,WA,47.63065,-118.42145,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE
BLM - BLM_5175,BLM - BLM_5175-WS-8,2007,NA,WA,47.6356,-118.42103,UPPER LAKE CREEK,CRAB CREEK/LAKE CREEK,UPPER COLUMBIA,UPPER COLUMBIA,BLM,267242.3431460006,FALSE
BLM - BLM_5180,BLM - BLM_5180-WS-1,2007,NA,OR,42.72558,-123.23613,COW CREEK-QUINES CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,267242.3431460006,FALSE
BLM - BLM_5182,BLM - BLM_5182-WS-1,2007,NA,OR,42.75384,-123.46582,COW CREEK-MCCULLOUGH CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,121473.79233909117,FALSE
BLM - BLM_5185,BLM - BLM_5185-WS-1,2007,NA,OR,43.86234,-123.71445,WEST FORK SMITH RIVER-LOWER UMPQUA RIVER,LOWER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,85031.65463736381,TRUE
BLM - BLM_5214,BLM - BLM_5214-WS-1,2005,NA,OR,43.13838,-123.12397,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,154219.282214958,TRUE
BLM - BLM_5229,BLM - BLM_5229-WS-1,2007,NA,OR,44.27091,-123.49094,UPPER LAKE CREEK,LAKE CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,1822.1068850863676,TRUE
BLM - BLM_5231,BLM - BLM_5231-WS-1,2007,NA,OR,43.58439,-122.99016,UPPER BIG RIVER,UPPER COAST FORK WILLAMETTE RIVER,WILLAMETTE,WILLAMETTE,BLM,168848.57135133672,TRUE
BLM - BLM_5232,BLM - BLM_5232-WS-1,2007,NA,OR,43.57397,-122.95185,UPPER BIG RIVER,UPPER COAST FORK WILLAMETTE RIVER,WILLAMETTE,WILLAMETTE,BLM,149048.34320006488,TRUE
BLM - BLM_5233,BLM - BLM_5233-WS-1,2007,NA,OR,43.56856,-122.93546,UPPER BIG RIVER,UPPER COAST FORK WILLAMETTE RIVER,WILLAMETTE,WILLAMETTE,BLM,136536.54258913847,TRUE
BLM - BLM_5239,BLM - BLM_5239-WS-1,2008,NA,OR,44.69465,-123.38767,UPPER LUCKIAMUTE RIVER-MAXFIELD CREEK,LUCKIAMUTE RIVER,WILLAMETTE,WILLAMETTE,BLM,89360.07742174968,TRUE
BLM - BLM_5258,BLM - BLM_5258-WS-1,2008,NA,OR,42.20198,-123.55076,MCMULLIN CREEK,DEER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,55998.98185096313,TRUE
BLM - BLM_5280,BLM - BLM_5280-WS-1,2008,NA,OR,43.93342,-123.34353,UPPER WOLF CREEK,WOLF CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,2382.935397913325,TRUE
BLM - BLM_5302,BLM - BLM_5302-WS-1,2009,NA,OR,43.16386,-123.98008,YANKEE RUN,MIDDLE MAIN COQUILLE,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,11825.131377775908,TRUE
BLM - BLM_5313,BLM - BLM_5313-WS-1,2009,NA,OR,42.54684,-123.09593,EVANS CREEK-SYKES CREEK,EVANS CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,56760.630613324356,TRUE
BLM - BLM_5314,BLM - BLM_5314-WS-1,2009,NA,OR,42.66871,-123.01092,LOWER WEST FORK EVANS CREEK,EVANS CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,53213.091199991584,TRUE
BLM - BLM_5318,BLM - BLM_5318-WS-2,2009,NA,OR,45.86714,-123.08665,EAST FORK NEHALEM RIVER,UPPER NEHALEM RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,35475.394133327725,FALSE
BLM - BLM_5318,BLM - BLM_5318-WS-4,2009,NA,OR,45.86546,-123.08875,EAST FORK NEHALEM RIVER,UPPER NEHALEM RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,35475.394133327725,FALSE
BLM - BLM_5318,BLM - BLM_5318-WS-5,2009,NA,OR,45.86618,-123.0873,EAST FORK NEHALEM RIVER,UPPER NEHALEM RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,35475.394133327725,FALSE
BLM - BLM_5318,BLM - BLM_5318-WS-6,2009,NA,OR,45.86935,-123.08238,EAST FORK NEHALEM RIVER,UPPER NEHALEM RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,35475.394133327725,FALSE
BLM - BLM_5318,BLM - BLM_5318-WS-7,2009,NA,OR,45.86568,-123.09488,EAST FORK NEHALEM RIVER,UPPER NEHALEM RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,35475.394133327725,FALSE
BLM - BLM_5318,BLM - BLM_5318-WS-8,2009,NA,OR,45.86516,-123.09093,EAST FORK NEHALEM RIVER,UPPER NEHALEM RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,35475.394133327725,FALSE
BLM - BLM_5351,BLM - BLM_5351-WS-1,2009,NA,OR,44.31401,-123.62482,LOWER SOUTH FORK OF ALSEA RIVER,UPPER ALSEA RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,65303.10552062967,TRUE
BLM - BLM_5351,BLM - BLM_5351-WS-2,2009,NA,OR,44.31504,-123.6252,LOWER SOUTH FORK OF ALSEA RIVER,UPPER ALSEA RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,65303.10552062967,TRUE
BLM - BLM_5369,BLM - BLM_5369-WS-1,2009,NA,OR,43.88382,-123.36137,SIUSLAW RIVER-SIUSLAW FALLS,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,474187.7682488139,TRUE
BLM - BLM_5369,BLM - BLM_5369-WS-2,2009,NA,OR,43.88271,-123.36182,SIUSLAW RIVER-SIUSLAW FALLS,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,474187.7682488139,TRUE
BLM - BLM_5369,BLM - BLM_5369-WS-3,2009,NA,OR,43.88184,-123.36281,SIUSLAW RIVER-SIUSLAW FALLS,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,474187.7682488139,TRUE
BLM - BLM_5387,BLM - BLM_5387-WS-1,2009,NA,OR,42.8831,-123.26736,CANYON CREEK,SOUTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,307453.4158221736,TRUE
BLM - BLM_5388,BLM - BLM_5388-WS-1,2008,NA,OR,43.0268,-123.46617,RICE CREEK,MIDDLE SOUTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,212081.2504142859,TRUE
BLM - BLM_5389,BLM - BLM_5389-WS-1,2009,NA,OR,42.89733,-118.66507,KRUMBO CREEK,MIDDLE DONNER UND BLITZEN RIVER,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,3547.5394133327723,TRUE
BLM - BLM_5389,BLM - BLM_5389-WS-2,2009,NA,OR,42.93061,-118.73284,KRUMBO CREEK,MIDDLE DONNER UND BLITZEN RIVER,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,3547.5394133327723,TRUE
BLM - BLM_5390,BLM - BLM_5390-WS-1,2008,NA,OR,42.91346,-118.63046,MC COY CREEK,CUCAMONGA CREEK,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,1429.7612387479949,TRUE
BLM - BLM_5391,BLM - BLM_5391-WS-1,2009,NA,OR,42.80771,-118.86843,FIVEMILE LAKE,UPPER DONNER UND BLITZEN RIVER,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,9460.105102220727,TRUE
BLM - BLM_5391,BLM - BLM_5391-WS-2,2009,NA,OR,42.80149,-118.86705,FIVEMILE LAKE,UPPER DONNER UND BLITZEN RIVER,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,9460.105102220727,TRUE
BLM - BLM_5391,BLM - BLM_5391-WS-3,2009,NA,OR,42.80385,-118.86748,FIVEMILE LAKE,UPPER DONNER UND BLITZEN RIVER,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,9460.105102220727,TRUE
BLM - BLM_5391,BLM - BLM_5391-WS-4,2009,NA,OR,42.80507,-118.86726,FIVEMILE LAKE,UPPER DONNER UND BLITZEN RIVER,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,9460.105102220727,TRUE
BLM - BLM_5391,BLM - BLM_5391-WS-5,2009,NA,OR,42.80326,-118.86761,FIVEMILE LAKE,UPPER DONNER UND BLITZEN RIVER,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,9460.105102220727,TRUE
BLM - BLM_5391,BLM - BLM_5391-WS-6,2009,NA,OR,42.8055,-118.86692,FIVEMILE LAKE,UPPER DONNER UND BLITZEN RIVER,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,9460.105102220727,TRUE
BLM - BLM_5391,BLM - BLM_5391-WS-7,2009,NA,OR,42.80211,-118.86631,FIVEMILE LAKE,UPPER DONNER UND BLITZEN RIVER,OREGON CLOSED BASINS,OREGON CLOSED BASINS,BLM,9460.105102220727,TRUE
