project_id,worksite_id,state,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv,ua_dist,ua_nn_name,uc_dist,uc_nn_name,fips,county,state_fips,emp_agforest,emp_mining,emp_util,emp_const,emp_manuf,emp_wholesale,emp_retail,emp_transport,emp_info,emp_finance,emp_realestate,emp_profsci,emp_mgmn,emp_admin,emp_educ,emp_health,emp_arts,emp_food,emp_other,comid,popdens_cat,popdens_cat_nodata,popdens_acc,popdens_acc_notdata,popdens_tot,popdens_tot_nodata,hdens_cat,hdens_cat_nodata,hdens_acc,hdens_acc_notdata,hdens_tot,hdens_tot_nodata,nlcd_openwater_acc,nlcd_icesnow_acc,nlcd_devopen_acc,nlcd_devlow_acc,nlcd_devmed_acc,nlcd_devhigh_acc,nlcd_barren_acc,nlcd_fordec_acc,nlcd_forcon_acc,nlcd_formix_acc,nlcd_shrub_acc,nlcd_grass_acc,nlcd_pasture_acc,nlcd_crop_acc,nlcd_wetwood_acc,nlcd_wetherb_acc,nlcd_nodat_acc,nlcd_openwater_cat,nlcd_icesnow_cat,nlcd_devopen_cat,nlcd_devlow_cat,nlcd_devmed_cat,nlcd_devhigh_cat,nlcd_barren_cat,nlcd_fordec_cat,nlcd_forcon_cat,nlcd_formix_cat,nlcd_shrub_cat,nlcd_grass_cat,nlcd_pasture_cat,nlcd_crop_cat,nlcd_wetwood_cat,nlcd_wetherb_cat,nlcd_nodat_cat,nlcd_openwater_tot,nlcd_icesnow_tot,nlcd_devopen_tot,nlcd_devlow_tot,nlcd_devmed_tot,nlcd_devhigh_tot,nlcd_barren_tot,nlcd_fordec_tot,nlcd_forcon_tot,nlcd_formix_tot,nlcd_shrub_tot,nlcd_grass_tot,nlcd_pasture_tot,nlcd_crop_tot,nlcd_wetwood_tot,nlcd_wetherb_tot,nlcd_nodat_tot,slope,upst_dist,ppt_cat,ppt_acc,ppt_tot,bfi_cat,bfi_acc,bfi_tot,bankfull_width,bankfull_depth,bankfull_xsec_area,cat_streamriver,cat_artificial,cat_canalditch,cat_connector,cat_pipeline,acc_streamriver,acc_artificial,acc_canalditch,acc_connector,acc_pipeline,tot_streamriver,tot_artificial,tot_canalditch,tot_connector,tot_pipeline,id,acc_s1100,acc_s1200,acc_s1400,acc_s1500,acc_s1630,acc_s1640,acc_s1710,acc_s1720,acc_s1730,acc_s1740,acc_s1750,acc_s1780,acc_s1820,acc_s1830,acc_total_road_dens,cat_s1100,cat_s1200,cat_s1400,cat_s1500,cat_s1630,cat_s1640,cat_s1710,cat_s1720,cat_s1730,cat_s1740,cat_s1750,cat_s1780,cat_s1820,cat_s1830,cat_total_road_dens,tot_s1100,tot_s1200,tot_s1400,tot_s1500,tot_s1630,tot_s1640,tot_s1710,tot_s1720,tot_s1730,tot_s1740,tot_s1750,tot_s1780,tot_s1820,tot_s1830,tot_total_road_dens,acc_basin_area,acc_stream_slope,acc_basin_slope,acc_elev_mean,acc_elev_min,acc_elev_max,acc_stream_length,cat_basin_area,cat_basin_slope,cat_elev_mean,cat_elev_min,cat_elev_max,cat_stream_slope,cat_stream_length,tot_basin_area,tot_basin_slope,tot_elev_mean,tot_elev_min,tot_elev_max,tot_stream_slope,tot_stream_length,cat_rdx,acc_rdx,tot_rdx,sinuosity,cat_strm_dens,acc_strm_dens,tot_strm_dens,latitude,longitude,nlcd_2001,nlcd_2004,nlcd_2006,nlcd_2008,nlcd_2011,nlcd_2013,nlcd_2016,snet_distm,snet_name,snet_spp,snet_use,nhd_dist_m,nhd_leng_m,nhd_r_code,nhd_ftype,slope_deg,here_distm,here_speed,here_class,here_paved,here_publi,huc12,huc12_name,hu_type,hu_mod,to_huc12,brick_coun,brick_totp,const_coun,const_totp,merch_coun,merch_totp,metal_coun,metal_totp,sales_coun,sand_count,bia_5km_buff,blm_5km_buff,bpa_5km_buff,coe_5km_buff,fws_5km_buff,gsa_5km_buff,lg_5km_buff,nps_5km_buff,pv_5km_buff,pvi_5km_buff,pvn_5km_buff,pvu_5km_buff,st_5km_buff,stf_5km_buff,stl_5km_buff,stp_5km_buff,stw_5km_buff,und_5km_buff,usfs_5km_buff,water_5km_buff,bia_2km_buff,blm_2km_buff,bpa_2km_buff,coe_2km_buff,fws_2km_buff,gsa_2km_buff,lg_2km_buff,nps_2km_buff,pv_2km_buff,pvi_2km_buff,pvn_2km_buff,pvu_2km_buff,st_2km_buff,stf_2km_buff,stl_2km_buff,stp_2km_buff,stw_2km_buff,und_2km_buff,usfs_2km_buff,water_2km_buff,bia_1km_buff,blm_1km_buff,bpa_1km_buff,coe_1km_buff,fws_1km_buff,gsa_1km_buff,lg_1km_buff,nps_1km_buff,pv_1km_buff,pvi_1km_buff,pvn_1km_buff,pvu_1km_buff,st_1km_buff,stf_1km_buff,stl_1km_buff,stp_1km_buff,stw_1km_buff,und_1km_buff,usfs_1km_buff,water_1km_buff,geometry,project_year,nlcd_current,n_worksites,n_culverts,action_fishpass_culvimp_prj,action_fishpass_culvinst_prj,action_fishpass_culvrem_prj,action_fishpass_culvimp_count_prj,action_fishpass_culvinst_count_prj,action_fishpass_culvrem_count_prj,action_fishpass_culvimp_wrk,action_fishpass_culvinst_wrk,action_fishpass_culvrem_wrk,action_fishpass_culvimp_count_wrk,action_fishpass_culvinst_count_wrk,action_fishpass_culvrem_count_wrk,cost_per_culvert,dist_max,dist_mean
HWS - HWS_15810,HWS - HWS_15810-WS-1,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,126800.724715633,"Wenatchee, WA Urbanized Area",29460.31060031253,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.26,0,39.58,12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,48.26,0,39.58,12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,48.26,0,39.58,12.16,0,0,0,0,0,0.09864455,3.98,420.48,420.48,420.48,69.17,69.17,69.17,2.61,0.34,0.65,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455400,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,1.12,5.52,0.025126,22.83,1233.54,917.54,1621,3.98,5.52,22.83,1233.54,917.54,1621,0.1,3.98,5.52,22.83,1233.54,917.54,1621,0.025126,3.98,2,2,2,1.05,0.72,0.72,0.72,48.30647849,-119.1158796,42,42,42,42,42,42,42,2184.6,Omak Creek,Steelhead,Migration only,3.93,1379,17020006000856,460,3.10871625,318.54,6,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,1.11663e-5,1.78661e-4,7.10323e-5,7.67106e-4,1.15225e-4,9.87397e-4,3.12121e-5,3.12121e-5,0,1.19476e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.1158796, 48.30647849)",2010,42,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
HWS - HWS_15810,HWS - HWS_15810-WS-10,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,126183.96345317354,"Wenatchee, WA Urbanized Area",21293.85258781239,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066445,1.08,0,1.08,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.61,0,12.02,9.34,0,0,0,0.03,0,0,0,0,0,0,0,0,0,78.61,0,12.02,9.34,0,0,0,0.03,0,0,0,0,0,0,0,0,0,78.61,0,12.02,9.34,0,0,0,0.03,0,0.06383243,4.972,337.08,337.08,337.08,68,68,68,2.76,0.35,0.71,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455381,0,0,1.97,0,0,0,0,0,0,0.04,0,0,0,0,2.01,0,0,1.97,0,0,0,0,0,0,0.04,0,0,0,0,2.01,0,0,1.97,0,0,0,0,0,0,0.04,0,0,0,0,2.01,6.3,0.012072,18.98,1042.83,779.47,1318.38,4.97,6.3,18.98,1042.83,779.47,1318.38,0.06,4.972,6.3,18.98,1042.83,779.47,1318.38,0.012072,4.97,3,3,3,1.06,0.79,0.79,0.79,48.35499653,-119.2072177,95,95,95,95,95,95,95,48.64,Omak Creek,Steelhead,Migration only,1.11,974,17020006000834,460,2.16046572,3.55,7,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,2.16802e-5,3.29881e-4,5.65772e-5,6.22072e-4,1.15569e-4,9.9476e-4,3.62308e-5,3.62308e-5,0,2.00189e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.2072177, 48.35499653)",2010,95,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
HWS - HWS_15810,HWS - HWS_15810-WS-11,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,127509.94557056518,"Wenatchee, WA Urbanized Area",29996.833247596533,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.26,0,39.58,12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,48.26,0,39.58,12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,48.26,0,39.58,12.16,0,0,0,0,0,0.09864455,3.98,420.48,420.48,420.48,69.17,69.17,69.17,2.61,0.34,0.65,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455400,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,1.12,5.52,0.025126,22.83,1233.54,917.54,1621,3.98,5.52,22.83,1233.54,917.54,1621,0.1,3.98,5.52,22.83,1233.54,917.54,1621,0.025126,3.98,2,2,2,1.05,0.72,0.72,0.72,48.3092323,-119.1064569,42,42,42,42,42,42,42,2809.86,Omak Creek,Steelhead,Migration only,4.15,1379,17020006000856,460,7.61071396,3.74,7,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,1.03684e-5,1.65461e-4,7.2972e-5,7.83989e-4,1.14002e-4,9.82865e-4,3.12121e-5,3.12121e-5,0,1.19476e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.1064569, 48.3092323)",2010,42,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
HWS - HWS_15810,HWS - HWS_15810-WS-2,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,125462.59712740437,"Wenatchee, WA Urbanized Area",21154.320867561048,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066445,1.08,0,1.08,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.61,0,12.02,9.34,0,0,0,0.03,0,0,0,0,0,0,0,0,0,78.61,0,12.02,9.34,0,0,0,0.03,0,0,0,0,0,0,0,0,0,78.61,0,12.02,9.34,0,0,0,0.03,0,0.06383243,4.972,337.08,337.08,337.08,68,68,68,2.76,0.35,0.71,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455381,0,0,1.97,0,0,0,0,0,0,0.04,0,0,0,0,2.01,0,0,1.97,0,0,0,0,0,0,0.04,0,0,0,0,2.01,0,0,1.97,0,0,0,0,0,0,0.04,0,0,0,0,2.01,6.3,0.012072,18.98,1042.83,779.47,1318.38,4.97,6.3,18.98,1042.83,779.47,1318.38,0.06,4.972,6.3,18.98,1042.83,779.47,1318.38,0.012072,4.97,3,3,3,1.06,0.79,0.79,0.79,48.34907623,-119.2118148,42,42,42,52,52,52,42,652.63,Omak Creek,Steelhead,Migration only,0.99,974,17020006000834,460,5.88516426,280.86,6,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,2.16802e-5,3.29881e-4,5.73404e-5,6.3061e-4,1.16293e-4,9.99209e-4,3.82607e-5,3.82607e-5,0,2.13033e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.2118148, 48.34907623)",2010,52,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
HWS - HWS_15810,HWS - HWS_15810-WS-3,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,126688.43650569498,"Wenatchee, WA Urbanized Area",29871.158182172312,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5,0,18.63,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5,0,18.63,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5,0,18.63,1.87,0,0,0,0,0,0.07034768,2.682,383.16,383.16,383.16,69.4,69.4,69.4,2.59,0.34,0.64,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455411,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.57,5.45,0.026119,20.77,1181.05,925.88,1598.61,2.68,5.45,20.77,1181.05,925.88,1598.61,0.07,2.682,5.45,20.77,1181.05,925.88,1598.61,0.026119,2.68,1,1,1,1.11,0.49,0.49,0.49,48.3026609,-119.1122533,42,42,42,71,52,52,52,2585.32,Omak Creek,Steelhead,Migration only,42.18,416,17020006019297,460,4.86533499,6.51,6,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,1.11663e-5,1.78661e-4,7.34038e-5,7.90169e-4,1.15225e-4,9.87397e-4,3.18568e-5,3.18568e-5,0,1.19476e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.1122533, 48.3026609)",2010,52,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
HWS - HWS_15810,HWS - HWS_15810-WS-4,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,124813.16771101646,"Wenatchee, WA Urbanized Area",30656.13944515734,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,0,16.65,2.26,0,0,1.46,0,0,0,0,0,0,0,0,0,0,79.63,0,16.65,2.26,0,0,1.46,0,0,0,0,0,0,0,0,0,0,79.63,0,16.65,2.26,0,0,1.46,0,0,0.06169009,2.995,345.96,345.96,345.96,70,70,70,2.54,0.33,0.62,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455435,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,5.18,0.02,17.78,1089.48,935.23,1340.41,3,5.18,17.78,1089.48,935.23,1340.41,0.06,2.995,5.18,17.78,1089.48,935.23,1340.41,0.02,3,1,1,1,1.29,0.58,0.58,0.58,48.28102247,-119.1156607,52,52,52,52,52,52,52,4050.35,Omak Creek,Steelhead,Migration only,251.45,2307,17020006019424,460,6.71387768,1,7,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,1.04908e-5,1.67852e-4,7.2342e-5,7.85181e-4,1.16908e-4,9.93511e-4,3.30984e-5,3.30984e-5,0,1.09408e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.1156607, 48.28102247)",2010,52,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
HWS - HWS_15810,HWS - HWS_15810-WS-5,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,124879.51728800431,"Wenatchee, WA Urbanized Area",30435.606724711524,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,0,16.65,2.26,0,0,1.46,0,0,0,0,0,0,0,0,0,0,79.63,0,16.65,2.26,0,0,1.46,0,0,0,0,0,0,0,0,0,0,79.63,0,16.65,2.26,0,0,1.46,0,0,0.06169009,2.995,345.96,345.96,345.96,70,70,70,2.54,0.33,0.62,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455435,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,5.18,0.02,17.78,1089.48,935.23,1340.41,3,5.18,17.78,1089.48,935.23,1340.41,0.06,2.995,5.18,17.78,1089.48,935.23,1340.41,0.02,3,1,1,1,1.29,0.58,0.58,0.58,48.28307462,-119.117431,52,52,52,52,52,52,52,3787.14,Omak Creek,Steelhead,Migration only,181.77,164,17020006019425,460,6.71387768,6.08,7,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,1.07264e-5,1.71622e-4,7.2342e-5,7.85181e-4,1.16908e-4,9.93511e-4,3.30984e-5,3.30984e-5,0,1.09408e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.117431, 48.28307462)",2010,52,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
HWS - HWS_15810,HWS - HWS_15810-WS-7,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,124073.81265164076,"Wenatchee, WA Urbanized Area",25858.975629676715,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066557,0.36,0,0.36,0,0.36,0,0,0,0,0,0,0,0,0,1.05,0.12,0,0,0,0,60.34,0,37.09,1.31,0,0,0.04,0.05,0,0,0,1.05,0.12,0,0,0,0,60.34,0,37.09,1.31,0,0,0.04,0.05,0,0,0,1.05,0.12,0,0,0,0,60.34,0,37.09,1.31,0,0,0.04,0.05,0,0.05343653,5.996,346.92,346.92,346.92,68.86,68.86,68.86,3.73,0.41,1.14,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455431,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.25,12.6,0.008333,14.43,1000.29,828.48,1229.79,6,12.6,14.43,1000.29,828.48,1229.79,0.05,5.996,12.6,14.43,1000.29,828.48,1229.79,0.008333,6,2,2,2,1.14,0.48,0.48,0.48,48.3065133,-119.1688988,21,21,21,21,21,21,21,1758.3,Omak Creek,Steelhead,Migration only,5.21,733,17020006018925,460,3.42310882,9.94,6,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,1.5584e-5,2.49344e-4,6.42181e-5,7.04095e-4,1.17921e-4,0.00100015,3.6317e-5,3.6317e-5,0,1.53758e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.1688988, 48.3065133)",2010,21,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
HWS - HWS_15810,HWS - HWS_15810-WS-8,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,125961.86533318971,"Wenatchee, WA Urbanized Area",26123.123095574483,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066557,0.36,0,0.36,0,0.36,0,0,0,0,0,0,0,0,0,1.05,0.12,0,0,0,0,60.34,0,37.09,1.31,0,0,0.04,0.05,0,0,0,1.05,0.12,0,0,0,0,60.34,0,37.09,1.31,0,0,0.04,0.05,0,0,0,1.05,0.12,0,0,0,0,60.34,0,37.09,1.31,0,0,0.04,0.05,0,0.05343653,5.996,346.92,346.92,346.92,68.86,68.86,68.86,3.73,0.41,1.14,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455431,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.25,12.6,0.008333,14.43,1000.29,828.48,1229.79,6,12.6,14.43,1000.29,828.48,1229.79,0.05,5.996,12.6,14.43,1000.29,828.48,1229.79,0.008333,6,2,2,2,1.14,0.48,0.48,0.48,48.3213631,-119.1554215,21,21,21,21,21,21,21,37.55,Omak Creek,Steelhead,Migration only,6.05,187,17020006018886,460,1.37621415,8.44,7,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,1.48837e-5,2.38119e-4,6.51913e-5,7.12036e-4,1.1495e-4,9.87291e-4,3.43401e-5,3.43401e-5,0,1.49417e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.1554215, 48.3213631)",2010,21,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
HWS - HWS_15810,HWS - HWS_15810-WS-9,WA,UPPER OMAK CREEEK,OKANOGAN RIVER/OMAK CREEK,OKANOGAN,UPPER COLUMBIA,HABITAT WORK SCHEDULE,531862.8504241377,TRUE,126504.0211441745,"Wenatchee, WA Urbanized Area",29459.958582648007,"Omak, WA Urban Cluster",53047,Okanogan,53,259,0,38,471,0,403,1855,0,148,250,152,257,0,156,34,1998,0,1002,0,23066489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.26,0,39.58,12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,48.26,0,39.58,12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,48.26,0,39.58,12.16,0,0,0,0,0,0.09864455,3.98,420.48,420.48,420.48,69.17,69.17,69.17,2.61,0.34,0.65,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,2455400,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,1.12,5.52,0.025126,22.83,1233.54,917.54,1621,3.98,5.52,22.83,1233.54,917.54,1621,0.1,3.98,5.52,22.83,1233.54,917.54,1621,0.025126,3.98,2,2,2,1.05,0.72,0.72,0.72,48.3038195,-119.1175357,42,42,42,42,42,42,42,2175.34,Omak Creek,Steelhead,Migration only,3.11,492,17020006000856,460,3.10871625,0.86,6,5,N,Y,170200061903,Upper Omak Creeek,S,NM,170200061904,1.11663e-5,1.78661e-4,7.10323e-5,7.67106e-4,1.15225e-4,9.87397e-4,3.24855e-5,3.24855e-5,0,1.19476e-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-119.1175357, 48.3038195)",2010,42,10,10,0,1,0,0,10,0,0,1,0,0,1,0,53186.285042413765,10666.331113069398,4274.098995140154
