project_id,completed_year,latitude,longitude,basin,project_source,project_cost,n_worksites,n_action_prj,n_action_prj_dist,n_metric_prj,n_metric_prj_dist,adj_cost,cost_avail,action_fishpass_culvimp,action_fishpass_culvinst,action_fishpass_culvrem,action_fishpass_culvimp_count,action_fishpass_culvinst_count,action_fishpass_culvrem_count,n_culverts,n_culverts_fromcount,cost_per_culvert,dist_max,dist_mean
BLM - BLM_5007,2005,43.693614999999994,-124.03093,SOUTHERN OREGON COASTAL,BLM,76750,2,2,1,2,1,98636.0825833169,TRUE,1,0,0,2,0,0,2,0,49318.04129165845,283.1307512004246,141.5653756002123
BLM - BLM_5008,2005,43.78225,-123.90201,SOUTHERN OREGON COASTAL,BLM,102600,1,1,1,1,1,131857.4862937891,TRUE,1,0,0,1,0,0,1,0,131857.4862937891,0,0
BLM - BLM_5013,2005,43.60798,-123.6211,SOUTHERN OREGON COASTAL,BLM,48000,1,1,1,1,1,61687.7128859832,TRUE,1,0,0,1,0,0,1,0,61687.7128859832,0,0
BLM - BLM_5047,2005,43.435140000000004,-123.55191500000001,SOUTHERN OREGON COASTAL,BLM,221354,2,2,1,2,1,284475.4582950818,TRUE,1,0,0,2,0,0,2,0,142237.7291475409,1659.8571456890718,829.9285728445359
BLM - BLM_5048,2005,43.74534,-123.20411,SOUTHERN OREGON COASTAL,BLM,96960,1,1,1,1,1,124609.18002968606,TRUE,1,0,0,1,0,0,1,0,124609.18002968606,0,0
BLM - BLM_5050,2005,43.1435,-123.12578,SOUTHERN OREGON COASTAL,BLM,194597,1,1,1,1,1,250088.4138432015,TRUE,1,0,0,1,0,0,1,0,250088.4138432015,0,0
BLM - BLM_5051,2005,42.94083,-123.17283,SOUTHERN OREGON COASTAL,BLM,257966,1,1,1,1,1,331527.76129886543,TRUE,1,0,0,1,0,0,1,0,331527.76129886543,0,0
BLM - BLM_5053,2005,43.04954,-123.16142,SOUTHERN OREGON COASTAL,BLM,205681,1,1,1,1,1,264333.1348771231,TRUE,1,0,0,1,0,0,1,0,264333.1348771231,0,0
BLM - BLM_5054,2005,43.14066,-123.08859,SOUTHERN OREGON COASTAL,BLM,209016,1,1,1,1,1,268619.14576201385,TRUE,1,0,0,1,0,0,1,0,268619.14576201385,0,0
BLM - BLM_5065,2005,42.53517,-123.73007,SOUTHERN OREGON COASTAL,BLM,71000,1,1,1,1,1,91246.40864385015,TRUE,1,0,0,1,0,0,1,0,91246.40864385015,0,0
BLM - BLM_5066,2005,42.53307,-123.73309,SOUTHERN OREGON COASTAL,BLM,78000,1,1,1,1,1,100242.5334397227,TRUE,1,0,0,1,0,0,1,0,100242.5334397227,0,0
BLM - BLM_5068,2005,42.30846,-123.5776,SOUTHERN OREGON COASTAL,BLM,120000,1,1,1,1,1,154219.282214958,TRUE,1,0,0,1,0,0,1,0,154219.282214958,0,0
BLM - BLM_5069,2005,42.2146,-123.52168,SOUTHERN OREGON COASTAL,BLM,120000,1,1,1,1,1,154219.282214958,TRUE,1,0,0,1,0,0,1,0,154219.282214958,0,0
BLM - BLM_5086,2005,43.98884666666667,-123.45315333333333,NORTHERN OREGON COASTAL,BLM,2500,3,3,1,3,1,3212.9017128116247,TRUE,0,0,1,0,0,3,3,0,1070.967237603875,627.876023908139,282.348920068241
BLM - BLM_5087,2005,43.96642,-123.53074,NORTHERN OREGON COASTAL,BLM,4000,1,1,1,1,1,5140.6427404986,TRUE,0,0,1,0,0,1,1,0,5140.6427404986,0,0
BLM - BLM_5088,2005,43.824975,-123.39824999999999,NORTHERN OREGON COASTAL,BLM,1000,2,2,1,2,1,1285.16068512465,TRUE,0,0,1,0,0,2,2,0,642.580342562325,21.991000823962217,10.995500411981109
BLM - BLM_5102,2006,43.69023,-124.03314,SOUTHERN OREGON COASTAL,BLM,37340,1,1,1,1,1,46576.455899293556,TRUE,1,0,0,1,0,0,1,0,46576.455899293556,0,0
BLM - BLM_5112,2007,43.86589,-123.52549,NORTHERN OREGON COASTAL,BLM,1500,1,1,1,0,0,1822.1068850863676,TRUE,0,0,1,0,0,1,1,0,1822.1068850863676,0,0
BLM - BLM_5113,2007,44.12193,-122.80274,WILLAMETTE,BLM,143700,1,1,1,0,0,174557.839591274,TRUE,1,0,0,1,0,0,1,0,174557.839591274,0,0
BLM - BLM_5142,2006,42.70527,-123.16982,SOUTHERN OREGON COASTAL,BLM,127000,1,1,1,1,1,158414.83393707237,TRUE,1,0,0,1,0,0,1,0,158414.83393707237,0,0
BLM - BLM_5143,2006,42.73924,-123.26081,SOUTHERN OREGON COASTAL,BLM,180000,1,1,1,1,1,224524.96148561436,TRUE,1,0,0,1,0,0,1,0,224524.96148561436,0,0
BLM - BLM_5144,2006,42.7632,-123.33239,SOUTHERN OREGON COASTAL,BLM,130000,1,1,1,1,1,162156.91662849925,TRUE,1,0,0,1,0,0,1,0,162156.91662849925,0,0
BLM - BLM_5146,2006,42.65376,-123.55259,SOUTHERN OREGON COASTAL,BLM,218478,1,1,1,1,1,272520.9140858559,TRUE,1,0,0,1,0,0,1,0,272520.9140858559,0,0
BLM - BLM_5167,2006,43.30863,-122.95162,SOUTHERN OREGON COASTAL,BLM,279000,1,1,1,1,1,348013.69030270225,TRUE,1,0,0,1,0,0,1,0,348013.69030270225,0,0
BLM - BLM_5185,2007,43.86234,-123.71445,SOUTHERN OREGON COASTAL,BLM,70000,1,1,1,1,1,85031.65463736381,TRUE,1,0,0,1,0,0,1,0,85031.65463736381,0,0
BLM - BLM_5214,2005,43.13838,-123.12397,SOUTHERN OREGON COASTAL,BLM,120000,1,1,1,1,1,154219.282214958,TRUE,1,0,0,1,0,0,1,0,154219.282214958,0,0
BLM - BLM_5229,2007,44.27091,-123.49094,NORTHERN OREGON COASTAL,BLM,1500,1,1,1,1,1,1822.1068850863676,TRUE,0,0,1,0,0,1,1,0,1822.1068850863676,0,0
BLM - BLM_5231,2007,43.58439,-122.99016,WILLAMETTE,BLM,139000,1,1,1,2,2,168848.57135133672,TRUE,1,0,0,2,0,0,1,0,168848.57135133672,0,0
BLM - BLM_5232,2007,43.57397,-122.95185,WILLAMETTE,BLM,122700,1,1,1,2,2,149048.34320006488,TRUE,1,0,0,2,0,0,1,0,149048.34320006488,0,0
BLM - BLM_5233,2007,43.56856,-122.93546,WILLAMETTE,BLM,112400,1,1,1,1,1,136536.54258913847,TRUE,1,0,0,1,0,0,1,0,136536.54258913847,0,0
BLM - BLM_5239,2008,44.69465,-123.38767,WILLAMETTE,BLM,75000,1,1,1,0,0,89360.07742174968,TRUE,1,0,0,1,0,0,1,0,89360.07742174968,0,0
BLM - BLM_5258,2008,42.20198,-123.55076,SOUTHERN OREGON COASTAL,BLM,47000,1,1,1,1,1,55998.98185096313,TRUE,1,0,0,1,0,0,1,0,55998.98185096313,0,0
BLM - BLM_5280,2008,43.93342,-123.34353,NORTHERN OREGON COASTAL,BLM,2000,1,1,1,1,1,2382.935397913325,TRUE,1,0,0,1,0,0,1,0,2382.935397913325,0,0
BLM - BLM_5302,2009,43.16386,-123.98008,SOUTHERN OREGON COASTAL,BLM,10000,1,1,1,1,1,11825.131377775908,TRUE,1,0,0,1,0,0,1,0,11825.131377775908,0,0
BLM - BLM_5313,2009,42.54684,-123.09593,SOUTHERN OREGON COASTAL,BLM,48000,1,1,1,0,0,56760.630613324356,TRUE,1,0,0,1,0,0,1,0,56760.630613324356,0,0
BLM - BLM_5314,2009,42.66871,-123.01092,SOUTHERN OREGON COASTAL,BLM,45000,1,1,1,0,0,53213.091199991584,TRUE,1,0,0,1,0,0,1,0,53213.091199991584,0,0
BLM - BLM_5351,2009,44.314525,-123.62501,NORTHERN OREGON COASTAL,BLM,55224,2,2,1,2,1,65303.10552062967,TRUE,1,0,0,2,0,0,2,0,32651.552760314837,118.39915137445884,59.19957568722942
BLM - BLM_5366,2005,45.31063,-123.41355,NORTHERN OREGON COASTAL,BLM,NA,1,1,1,1,1,NA,FALSE,0,0,1,0,0,1,1,0,NA,0,0
BLM - BLM_5369,2009,43.88279,-123.362,NORTHERN OREGON COASTAL,BLM,401000,3,3,1,0,0,474187.7682488139,TRUE,1,0,0,3,0,0,3,0,158062.5894162713,248.5780150732589,111.62207224604495
BLM - BLM_5387,2009,42.8831,-123.26736,SOUTHERN OREGON COASTAL,BLM,260000,1,1,1,1,1,307453.4158221736,TRUE,1,0,0,1,0,0,1,0,307453.4158221736,0,0
BLM - BLM_5388,2008,43.0268,-123.46617,SOUTHERN OREGON COASTAL,BLM,178000,1,1,1,1,1,212081.2504142859,TRUE,1,0,0,1,0,0,1,0,212081.2504142859,0,0
BLM - BLM_5389,2009,42.91397,-118.698955,OREGON CLOSED BASINS,BLM,3000,2,2,1,0,0,3547.5394133327723,TRUE,1,0,0,2,0,0,2,0,1773.7697066663861,6655.136473781722,3327.568236890861
BLM - BLM_5390,2008,42.91346,-118.63046,OREGON CLOSED BASINS,BLM,1200,1,1,1,0,0,1429.7612387479949,TRUE,1,0,0,1,0,0,1,0,1429.7612387479949,0,0
BLM - BLM_5391,2009,42.80389,-118.86725375,OREGON CLOSED BASINS,BLM,8000,8,8,1,0,0,9460.105102220727,TRUE,1,0,0,8,0,0,8,0,1182.5131377775908,700.1330846553717,251.90963479584047
BLM - BLM_674,2003,43.74585,-123.64404,SOUTHERN OREGON COASTAL,BLM,13300,1,1,1,1,1,18099.703213770877,TRUE,1,0,0,1,0,0,1,0,18099.703213770877,0,0
BLM - BLM_675,2002,43.87429,-123.69881,SOUTHERN OREGON COASTAL,BLM,9500,1,1,1,1,1,13167.704085724332,TRUE,0,0,1,0,0,1,1,0,13167.704085724332,0,0
BLM - BLM_676,2003,43.83677,-123.569485,SOUTHERN OREGON COASTAL,BLM,72500,2,2,1,2,1,98663.79571416456,TRUE,1,0,0,2,0,0,2,0,49331.89785708228,195.25204310208613,97.62602155104307
BLM - BLM_677,2003,43.16251,-123.98175,SOUTHERN OREGON COASTAL,BLM,164000,1,1,1,1,1,223184.31030514467,TRUE,1,0,0,1,0,0,1,0,223184.31030514467,0,0
BLM - BLM_678,2003,43.20068,-124.08529,SOUTHERN OREGON COASTAL,BLM,252000,1,1,1,1,1,342941.7451030272,TRUE,1,0,0,1,0,0,1,0,342941.7451030272,0,0
BLM - BLM_679,2003,43.83553,-123.63066,SOUTHERN OREGON COASTAL,BLM,34000,1,1,1,1,1,46269.917990090966,TRUE,1,0,0,1,0,0,1,0,46269.917990090966,0,0
BLM - BLM_683,2003,43.74587,-123.64419,SOUTHERN OREGON COASTAL,BLM,95600,1,1,1,1,1,130100.12234860873,TRUE,1,0,0,1,0,0,1,0,130100.12234860873,0,0
BLM - BLM_686,2003,43.55403,-123.77502,SOUTHERN OREGON COASTAL,BLM,88850,1,1,1,1,1,120914.18274763478,TRUE,1,0,0,1,0,0,1,0,120914.18274763478,0,0
BLM - BLM_688,2003,43.83691,-123.75275,SOUTHERN OREGON COASTAL,BLM,81000,1,1,1,1,1,110231.27521168732,TRUE,1,0,0,1,0,0,1,0,110231.27521168732,0,0
BLM - BLM_689,2003,43.1168,-123.97685,SOUTHERN OREGON COASTAL,BLM,162000,1,1,1,1,1,220462.55042337463,TRUE,1,0,0,1,0,0,1,0,220462.55042337463,0,0
BLM - BLM_690,2003,43.76406,-123.61236,SOUTHERN OREGON COASTAL,BLM,71160,1,1,1,1,1,96840.21659337863,TRUE,1,0,0,1,0,0,1,0,96840.21659337863,0,0
BLM - BLM_692,2003,43.80457,-123.63716,SOUTHERN OREGON COASTAL,BLM,51000,1,1,1,1,1,69404.87698513645,TRUE,1,0,0,1,0,0,1,0,69404.87698513645,0,0
BLM - BLM_695,2003,43.95664,-123.7027,NORTHERN OREGON COASTAL,BLM,1000,1,1,1,1,1,1360.8799408850284,TRUE,0,0,1,0,0,1,1,0,1360.8799408850284,0,0
BLM - BLM_698,2003,44.11594,-122.53206,WILLAMETTE,BLM,2500,1,1,1,1,1,3402.1998522125714,TRUE,1,0,0,1,0,0,1,0,3402.1998522125714,0,0
BLM - BLM_702,2003,42.1571,-123.11473,SOUTHERN OREGON COASTAL,BLM,31040,1,1,1,1,1,42241.713365071286,TRUE,1,0,0,1,0,0,1,0,42241.713365071286,0,0
BLM - BLM_703,2003,42.1515,-123.09504,SOUTHERN OREGON COASTAL,BLM,28946,1,1,1,1,1,39392.030768858036,TRUE,1,0,0,1,0,0,1,0,39392.030768858036,0,0
BLM - BLM_704,2003,42.14721,-123.20724,SOUTHERN OREGON COASTAL,BLM,17345,1,1,1,1,1,23604.46257465082,TRUE,1,0,0,1,0,0,1,0,23604.46257465082,0,0
BLM - BLM_705,2003,42.1509,-123.21305,SOUTHERN OREGON COASTAL,BLM,27234,1,1,1,1,1,37062.204310062865,TRUE,1,0,0,1,0,0,1,0,37062.204310062865,0,0
BLM - BLM_714,2003,42.6825,-122.86026,SOUTHERN OREGON COASTAL,BLM,64356,1,1,1,1,1,87580.78947559689,TRUE,1,0,0,1,0,0,1,0,87580.78947559689,0,0
BLM - BLM_722,2003,42.77455,-123.31496,SOUTHERN OREGON COASTAL,BLM,75176,1,1,1,1,1,102305.5104359729,TRUE,1,0,0,1,0,0,1,0,102305.5104359729,0,0
BLM - BLM_724,2003,42.71901,-123.27957,SOUTHERN OREGON COASTAL,BLM,35000,1,1,1,1,1,47630.797930976,TRUE,1,0,0,1,0,0,1,0,47630.797930976,0,0
BLM - BLM_725,2003,42.66993,-123.1961,SOUTHERN OREGON COASTAL,BLM,95000,1,1,1,1,1,129283.5943840777,TRUE,1,0,0,1,0,0,1,0,129283.5943840777,0,0
BLM - BLM_726,2003,42.71954,-123.167145,SOUTHERN OREGON COASTAL,BLM,5000,2,2,1,2,1,6804.399704425143,TRUE,1,0,0,2,0,0,2,0,3402.1998522125714,914.0695065689712,457.0347532844856
BLM - BLM_728,2003,42.58285,-123.46933,SOUTHERN OREGON COASTAL,BLM,110666,1,1,1,1,1,150603.13953798256,TRUE,1,0,0,1,0,0,1,0,150603.13953798256,0,0
BLM - BLM_729,2003,42.18355,-123.52463,SOUTHERN OREGON COASTAL,BLM,91145,1,1,1,1,1,124037.40221196592,TRUE,1,0,0,1,0,0,1,0,124037.40221196592,0,0
BLM - BLM_730,2003,42.49239,-123.51842,SOUTHERN OREGON COASTAL,BLM,57260,1,1,1,1,1,77923.98541507674,TRUE,1,0,0,1,0,0,1,0,77923.98541507674,0,0
BLM - BLM_734,2003,42.89721,-123.03975,SOUTHERN OREGON COASTAL,BLM,151219,1,1,1,1,1,205790.90378069313,TRUE,1,0,0,1,0,0,1,0,205790.90378069313,0,0
BLM - BLM_735,2003,43.07315,-123.60244,SOUTHERN OREGON COASTAL,BLM,256400,1,1,1,1,1,348929.6168429213,TRUE,1,0,0,1,0,0,1,0,348929.6168429213,0,0
BLM - BLM_736,2003,43.42413,-122.77739,SOUTHERN OREGON COASTAL,BLM,162000,1,1,1,1,1,220462.55042337463,TRUE,1,0,0,1,0,0,1,0,220462.55042337463,0,0
BLM - BLM_737,2003,42.9117,-123.38283,SOUTHERN OREGON COASTAL,BLM,208000,1,1,1,1,1,283063.0277040859,TRUE,1,0,0,1,0,0,1,0,283063.0277040859,0,0
BLM - BLM_738,2003,43.44845,-123.63131,SOUTHERN OREGON COASTAL,BLM,88000,1,1,1,1,1,119757.43479788251,TRUE,1,0,0,1,0,0,1,0,119757.43479788251,0,0
BLM - BLM_921,2003,45.29179,-123.58078,NORTHERN OREGON COASTAL,BLM,47301,1,1,1,1,1,64370.98208380273,TRUE,1,0,0,1,0,0,1,0,64370.98208380273,0,0
BLM - BLM_93,2002,42.66508,-123.10597,SOUTHERN OREGON COASTAL,BLM,59000,1,1,1,1,1,81778.37274291954,TRUE,1,0,0,1,0,0,1,0,81778.37274291954,0,0
BOR - BOR_4253,2006,47.605,-120.6475,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4254,2006,47.70027778,-120.7463889,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4255,2007,47.8525,-120.66,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4256,2008,47.71083333,-120.64,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4257,2007,47.51083333,-120.6322222,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4266,2006,48.37916667,-120.2861111,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4306,2008,47.82333333,-120.6227778,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4308,2007,47.84888889,-120.6575,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4330,2009,48.36388889,-120.3386111,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4393,2009,47.68333333,-120.6394444,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4461,2010,44.77,-113.5225,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4463,2010,44.89,-113.9738889,NA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4475,2010,44.59111111,-113.9177778,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4576,2011,44.59472222,-113.9563889,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4577,2011,44.59480556,-113.9563333,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4613,2012,44.69209167,-113.3540083,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4627,2010,44.77,-113.5225,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4638,2010,44.89,-113.9738889,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4647,2012,45.37926944,-113.9074972,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4679,2011,45.25026111,-113.8333556,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4680,2011,45.26426944,-113.904475,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4684,2012,45.37719444,-113.9048167,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4686,2007,45.41833333,-116.3594444,SALMON,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4693,2006,47.43722222,-120.6458333,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4704,2008,47.495,-120.4213889,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4706,2007,47.51083333,-120.6322222,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4715,2006,47.605,-120.6475,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4728,2009,47.68333333,-120.6394444,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4735,2006,47.70027778,-120.7463889,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4738,2008,47.71083333,-120.64,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4749,2007,47.84888889,-120.6575,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4750,2007,47.8525,-120.66,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4765,2009,48.36722222,-120.2008333,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4786,2009,48.38055556,-120.3386111,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BOR - BOR_4797,2012,48.415,-120.1408333,UPPER COLUMBIA,BOR,NA,1,1,1,0,0,NA,FALSE,1,0,0,1,0,0,1,0,NA,0,0
BPA_1988-065-00_57130,2013,48.6,-116.37,KOOTENAI,BPA,NA,1,2,2,0,0,NA,FALSE,1,1,0,1,1,0,2,0,NA,0,0
