project_id,worksite_id,completed_year,latitude,longitude,county,state,subwatershed,watershed,subbasin,basin,project_source,action,project_cost,state_full,n_metric,n_action_wrk,n_metric_wrk,n_metric_wrk_dist,n_worksites,n_action_prj,n_action_prj_dist,n_metric_prj,n_metric_prj_dist,adj_cost,cost_avail,n_culverts,action_fishpass_culvimp_prj,action_fishpass_culvinst_prj,action_fishpass_culvrem_prj,action_fishpass_culvimp_count_prj,action_fishpass_culvinst_count_prj,action_fishpass_culvrem_count_prj,n_culverts_fromcount,cost_per_culvert,action_fishpass_culvimp_wrk,action_fishpass_culvinst_wrk,action_fishpass_culvrem_wrk,action_fishpass_culvimp_count_wrk,action_fishpass_culvinst_count_wrk,action_fishpass_culvrem_count_wrk,dist_max,dist_mean,fips,state_fips,emp_agforest,emp_mining,emp_util,emp_const,emp_manuf,emp_wholesale,emp_retail,emp_transport,emp_info,emp_finance,emp_realestate,emp_profsci,emp_mgmn,emp_admin,emp_educ,emp_health,emp_arts,emp_food,emp_other
BLM - BLM_1351,BLM - BLM_1351-WS-2,2004,43.62949,-123.16387,"oregon,douglas",OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,142000,OR,1,1,1,1,2,2,1,2,1,188179.7742205655,TRUE,2,1,0,0,2,0,0,0,94089.88711028275,1,0,0,1,0,0,129.97555518582368,64.98777759291184,41019,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555
BLM - BLM_1352,BLM - BLM_1352-WS-1,2004,43.49029,-123.21792,"oregon,douglas",OR,OLDHAM CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,36570,OR,1,1,1,1,1,1,1,1,1,48462.91791018367,TRUE,1,1,0,0,1,0,0,0,48462.91791018367,1,0,0,1,0,0,0,0,41019,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555
BLM - BLM_1353,BLM - BLM_1353-WS-1,2004,43.43086,-123.16036,"oregon,douglas",OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,78500,OR,1,1,1,1,1,1,1,1,1,104028.95969235488,TRUE,1,1,0,0,1,0,0,0,104028.95969235488,1,0,0,1,0,0,0,0,41019,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555
BLM - BLM_1356,BLM - BLM_1356-WS-1,2004,43.80262,-123.43634,"oregon,lane",OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,310400,OR,1,1,1,1,4,4,1,4,1,411345.0839300249,TRUE,4,1,0,0,4,0,0,0,102836.27098250622,1,0,0,1,0,0,1400.9231279550793,666.0996103832349,41039,41,0.014970059880239521,0.0013960842360223374,0.001286752338020588,0.057945905940927134,0.1647884007266366,0.046037139204736593,0.16384646437462155,0.023582049384377312,0.02005819821032093,0.03806432079660903,0.022143914418354303,0.057945905940927134,0.010664065128170626,0.0600063917109601,0.012430195788198883,0.1437125748502994,0.015340106304245442,0.10036668236560586,0.04541478840072664
BLM - BLM_1356,BLM - BLM_1356-WS-2,2004,43.80723,-123.43562,"oregon,lane",OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,310400,OR,1,1,1,1,4,4,1,4,1,411345.0839300249,TRUE,4,1,0,0,4,0,0,0,102836.27098250622,1,0,0,1,0,0,1400.9231279550793,666.0996103832349,41039,41,0.014970059880239521,0.0013960842360223374,0.001286752338020588,0.057945905940927134,0.1647884007266366,0.046037139204736593,0.16384646437462155,0.023582049384377312,0.02005819821032093,0.03806432079660903,0.022143914418354303,0.057945905940927134,0.010664065128170626,0.0600063917109601,0.012430195788198883,0.1437125748502994,0.015340106304245442,0.10036668236560586,0.04541478840072664
BLM - BLM_1356,BLM - BLM_1356-WS-3,2004,43.79672,-123.44293,"oregon,douglas",OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,310400,OR,1,1,1,1,4,4,1,4,1,411345.0839300249,TRUE,4,1,0,0,4,0,0,0,102836.27098250622,1,0,0,1,0,0,1400.9231279550793,666.0996103832349,41019,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555
BLM - BLM_1356,BLM - BLM_1356-WS-4,2004,43.79487,-123.43906,"oregon,douglas",OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,310400,OR,1,1,1,1,4,4,1,4,1,411345.0839300249,TRUE,4,1,0,0,4,0,0,0,102836.27098250622,1,0,0,1,0,0,1400.9231279550793,666.0996103832349,41019,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555
BLM - BLM_290,BLM - BLM_290-WS-1,2002,42.90235,-123.62888,"oregon,douglas",OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,60000,OR,1,1,1,1,1,1,1,1,1,83164.4468572063,TRUE,1,1,0,0,1,0,0,0,83164.4468572063,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_291,BLM - BLM_291-WS-1,2002,42.90288,-123.63035,"oregon,douglas",OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,60000,OR,1,1,1,1,1,1,1,1,1,83164.4468572063,TRUE,1,1,0,0,1,0,0,0,83164.4468572063,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_292,BLM - BLM_292-WS-1,2002,43.02688,-123.73456,"oregon,douglas",OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,30500,OR,1,1,1,1,1,1,1,1,1,42275.26048574654,TRUE,1,1,0,0,1,0,0,0,42275.26048574654,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_293,BLM - BLM_293-WS-1,2002,43.01435,-123.73714,"oregon,douglas",OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135000,OR,1,1,1,1,2,2,1,2,1,187120.0054287142,TRUE,2,1,0,0,2,0,0,0,93560.0027143571,1,0,0,1,0,0,818.5666967497474,409.2833483748737,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_293,BLM - BLM_293-WS-2,2002,43.02064,-123.74237,"oregon,douglas",OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135000,OR,1,1,1,1,2,2,1,2,1,187120.0054287142,TRUE,2,1,0,0,2,0,0,0,93560.0027143571,1,0,0,1,0,0,818.5666967497474,409.2833483748737,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_296,BLM - BLM_296-WS-1,2002,43.09642,-123.06959,"oregon,douglas",OR,UPPER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,116270,OR,1,1,1,1,1,1,1,1,1,161158.83726812297,TRUE,1,1,0,0,1,0,0,0,161158.83726812297,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_297,BLM - BLM_297-WS-1,2002,43.66909,-123.16723,"oregon,douglas",OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,34500,OR,1,1,1,1,1,1,1,1,1,47819.55694289363,TRUE,1,1,0,0,1,0,0,0,47819.55694289363,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_298,BLM - BLM_298-WS-1,2002,43.44292,-122.76955,"oregon,douglas",OR,LOWER CANTON CREEK,CANTON CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,79003,OR,1,1,1,1,1,1,1,1,1,109504.01325099784,TRUE,1,1,0,0,1,0,0,0,109504.01325099784,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_299,BLM - BLM_299-WS-1,2002,43.38764,-122.92389,"oregon,douglas",OR,LOWER ROCK CREEK,ROCK CREEK/NORTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,103195,OR,1,1,1,1,1,1,1,1,1,143035.91822382342,TRUE,1,1,0,0,1,0,0,0,143035.91822382342,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_300,BLM - BLM_300-WS-1,2002,43.39122,-123.12266,"oregon,douglas",OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,144260,OR,1,1,1,1,2,2,1,2,1,199955.0517270097,TRUE,2,1,0,0,2,0,0,0,99977.52586350485,1,0,0,1,0,0,2278.6251975363484,1139.3125987681742,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_300,BLM - BLM_300-WS-2,2002,43.41042,-123.11277,"oregon,douglas",OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,144260,OR,1,1,1,1,2,2,1,2,1,199955.0517270097,TRUE,2,1,0,0,2,0,0,0,99977.52586350485,1,0,0,1,0,0,2278.6251975363484,1139.3125987681742,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_301,BLM - BLM_301-WS-1,2002,43.18397,-123.01903,"oregon,douglas",OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,100000,OR,1,1,1,1,1,1,1,1,1,138607.41142867718,TRUE,1,1,0,0,1,0,0,0,138607.41142867718,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_302,BLM - BLM_302-WS-1,2002,43.57981,-123.39823,"oregon,douglas",OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135170,OR,1,1,1,1,3,3,1,3,1,187355.63802814294,TRUE,3,1,0,0,3,0,0,0,62451.87934271432,1,0,0,1,0,0,2556.6269276158064,1181.252886912067,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_302,BLM - BLM_302-WS-2,2002,43.58935,-123.39035,"oregon,douglas",OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135170,OR,1,1,1,1,3,3,1,3,1,187355.63802814294,TRUE,3,1,0,0,3,0,0,0,62451.87934271432,1,0,0,1,0,0,2556.6269276158064,1181.252886912067,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_302,BLM - BLM_302-WS-3,2002,43.56648,-123.39385,"oregon,douglas",OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135170,OR,1,1,1,1,3,3,1,3,1,187355.63802814294,TRUE,3,1,0,0,3,0,0,0,62451.87934271432,1,0,0,1,0,0,2556.6269276158064,1181.252886912067,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_303,BLM - BLM_303-WS-1,2002,43.42371,-123.58771,"oregon,douglas",OR,WOLF CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,126755,OR,1,1,1,1,1,1,1,1,1,175691.82435641976,TRUE,1,1,0,0,1,0,0,0,175691.82435641976,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_304,BLM - BLM_304-WS-1,2002,43.46313,-123.4543,"oregon,douglas",OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,87500,OR,1,1,1,1,2,2,1,2,1,121281.48500009254,TRUE,2,1,0,0,2,0,0,0,60640.74250004627,1,0,0,1,0,0,171.581588344838,85.790794172419,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
