project_id,worksite_id,completed_year,latitude,longitude,county,state,subwatershed,watershed,subbasin,basin,project_source,action,project_cost,state_full,n_metric,n_action_wrk,n_metric_wrk,n_metric_wrk_dist,n_worksites,n_action_prj,n_action_prj_dist,n_metric_prj,n_metric_prj_dist,adj_cost,cost_avail,n_culverts,action_fishpass_culvimp_prj,action_fishpass_culvinst_prj,action_fishpass_culvrem_prj,action_fishpass_culvimp_count_prj,action_fishpass_culvinst_count_prj,action_fishpass_culvrem_count_prj,n_culverts_fromcount,cost_per_culvert,action_fishpass_culvimp_wrk,action_fishpass_culvinst_wrk,action_fishpass_culvrem_wrk,action_fishpass_culvimp_count_wrk,action_fishpass_culvinst_count_wrk,action_fishpass_culvrem_count_wrk,dist_max,dist_mean
BLM - BLM_1356,BLM - BLM_1356-WS-2,2004,43.80723,-123.43562,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,310400,OR,1,1,1,1,4,4,1,4,1,411345.0839300249,TRUE,4,1,0,0,4,0,0,0,102836.27098250622,1,0,0,1,0,0,1400.9231279550793,666.0996103832349
BLM - BLM_1356,BLM - BLM_1356-WS-3,2004,43.79672,-123.44293,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,310400,OR,1,1,1,1,4,4,1,4,1,411345.0839300249,TRUE,4,1,0,0,4,0,0,0,102836.27098250622,1,0,0,1,0,0,1400.9231279550793,666.0996103832349
BLM - BLM_1356,BLM - BLM_1356-WS-4,2004,43.79487,-123.43906,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,310400,OR,1,1,1,1,4,4,1,4,1,411345.0839300249,TRUE,4,1,0,0,4,0,0,0,102836.27098250622,1,0,0,1,0,0,1400.9231279550793,666.0996103832349
BLM - BLM_290,BLM - BLM_290-WS-1,2002,42.90235,-123.62888,NA,OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,60000,OR,1,1,1,1,1,1,1,1,1,83164.4468572063,TRUE,1,1,0,0,1,0,0,0,83164.4468572063,1,0,0,1,0,0,0,0
BLM - BLM_291,BLM - BLM_291-WS-1,2002,42.90288,-123.63035,NA,OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,60000,OR,1,1,1,1,1,1,1,1,1,83164.4468572063,TRUE,1,1,0,0,1,0,0,0,83164.4468572063,1,0,0,1,0,0,0,0
BLM - BLM_292,BLM - BLM_292-WS-1,2002,43.02688,-123.73456,NA,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,30500,OR,1,1,1,1,1,1,1,1,1,42275.26048574654,TRUE,1,1,0,0,1,0,0,0,42275.26048574654,1,0,0,1,0,0,0,0
BLM - BLM_293,BLM - BLM_293-WS-1,2002,43.01435,-123.73714,NA,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135000,OR,1,1,1,1,2,2,1,2,1,187120.0054287142,TRUE,2,1,0,0,2,0,0,0,93560.0027143571,1,0,0,1,0,0,818.5666967497474,409.2833483748737
BLM - BLM_293,BLM - BLM_293-WS-2,2002,43.02064,-123.74237,NA,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135000,OR,1,1,1,1,2,2,1,2,1,187120.0054287142,TRUE,2,1,0,0,2,0,0,0,93560.0027143571,1,0,0,1,0,0,818.5666967497474,409.2833483748737
BLM - BLM_296,BLM - BLM_296-WS-1,2002,43.09642,-123.06959,NA,OR,UPPER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,116270,OR,1,1,1,1,1,1,1,1,1,161158.83726812297,TRUE,1,1,0,0,1,0,0,0,161158.83726812297,1,0,0,1,0,0,0,0
BLM - BLM_297,BLM - BLM_297-WS-1,2002,43.66909,-123.16723,NA,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,34500,OR,1,1,1,1,1,1,1,1,1,47819.55694289363,TRUE,1,1,0,0,1,0,0,0,47819.55694289363,1,0,0,1,0,0,0,0
BLM - BLM_298,BLM - BLM_298-WS-1,2002,43.44292,-122.76955,NA,OR,LOWER CANTON CREEK,CANTON CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,79003,OR,1,1,1,1,1,1,1,1,1,109504.01325099784,TRUE,1,1,0,0,1,0,0,0,109504.01325099784,1,0,0,1,0,0,0,0
BLM - BLM_299,BLM - BLM_299-WS-1,2002,43.38764,-122.92389,NA,OR,LOWER ROCK CREEK,ROCK CREEK/NORTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,103195,OR,1,1,1,1,1,1,1,1,1,143035.91822382342,TRUE,1,1,0,0,1,0,0,0,143035.91822382342,1,0,0,1,0,0,0,0
BLM - BLM_300,BLM - BLM_300-WS-1,2002,43.39122,-123.12266,NA,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,144260,OR,1,1,1,1,2,2,1,2,1,199955.0517270097,TRUE,2,1,0,0,2,0,0,0,99977.52586350485,1,0,0,1,0,0,2278.6251975363484,1139.3125987681742
BLM - BLM_300,BLM - BLM_300-WS-2,2002,43.41042,-123.11277,NA,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,144260,OR,1,1,1,1,2,2,1,2,1,199955.0517270097,TRUE,2,1,0,0,2,0,0,0,99977.52586350485,1,0,0,1,0,0,2278.6251975363484,1139.3125987681742
BLM - BLM_301,BLM - BLM_301-WS-1,2002,43.18397,-123.01903,NA,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,100000,OR,1,1,1,1,1,1,1,1,1,138607.41142867718,TRUE,1,1,0,0,1,0,0,0,138607.41142867718,1,0,0,1,0,0,0,0
BLM - BLM_302,BLM - BLM_302-WS-1,2002,43.57981,-123.39823,NA,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135170,OR,1,1,1,1,3,3,1,3,1,187355.63802814294,TRUE,3,1,0,0,3,0,0,0,62451.87934271432,1,0,0,1,0,0,2556.6269276158064,1181.252886912067
BLM - BLM_302,BLM - BLM_302-WS-2,2002,43.58935,-123.39035,NA,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135170,OR,1,1,1,1,3,3,1,3,1,187355.63802814294,TRUE,3,1,0,0,3,0,0,0,62451.87934271432,1,0,0,1,0,0,2556.6269276158064,1181.252886912067
BLM - BLM_302,BLM - BLM_302-WS-3,2002,43.56648,-123.39385,NA,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,135170,OR,1,1,1,1,3,3,1,3,1,187355.63802814294,TRUE,3,1,0,0,3,0,0,0,62451.87934271432,1,0,0,1,0,0,2556.6269276158064,1181.252886912067
BLM - BLM_303,BLM - BLM_303-WS-1,2002,43.42371,-123.58771,NA,OR,WOLF CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,126755,OR,1,1,1,1,1,1,1,1,1,175691.82435641976,TRUE,1,1,0,0,1,0,0,0,175691.82435641976,1,0,0,1,0,0,0,0
BLM - BLM_304,BLM - BLM_304-WS-1,2002,43.46313,-123.4543,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,87500,OR,1,1,1,1,2,2,1,2,1,121281.48500009254,TRUE,2,1,0,0,2,0,0,0,60640.74250004627,1,0,0,1,0,0,171.581588344838,85.790794172419
BLM - BLM_304,BLM - BLM_304-WS-2,2002,43.46191,-123.4556,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,87500,OR,1,1,1,1,2,2,1,2,1,121281.48500009254,TRUE,2,1,0,0,2,0,0,0,60640.74250004627,1,0,0,1,0,0,171.581588344838,85.790794172419
BLM - BLM_306,BLM - BLM_306-WS-1,2002,43.16684,-123.08047,NA,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,80000,OR,1,1,1,1,1,1,1,1,1,110885.92914294175,TRUE,1,1,0,0,1,0,0,0,110885.92914294175,1,0,0,1,0,0,0,0
BLM - BLM_307,BLM - BLM_307-WS-1,2002,43.19372,-122.98997,NA,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,120000,OR,1,1,1,1,1,1,1,1,1,166328.8937144126,TRUE,1,1,0,0,1,0,0,0,166328.8937144126,1,0,0,1,0,0,0,0
BLM - BLM_441,BLM - BLM_441-WS-1,2002,45.30256,-123.33552,NA,OR,PANTHER CREEK,NORTH YAMHILL RIVER,WILLAMETTE,WILLAMETTE,BLM,fishpass_culvimp,36000,OR,1,1,1,1,1,1,1,1,1,49898.66811432379,TRUE,1,1,0,0,1,0,0,0,49898.66811432379,1,0,0,1,0,0,0,0
BLM - BLM_5007,BLM - BLM_5007-WS-1,2005,43.69488,-124.03114,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,76750,OR,1,1,1,1,2,2,1,2,1,98636.0825833169,TRUE,2,1,0,0,2,0,0,0,49318.04129165845,1,0,0,1,0,0,283.1307512004246,141.5653756002123
BLM - BLM_5007,BLM - BLM_5007-WS-2,2005,43.69235,-124.03072,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,76750,OR,1,1,1,1,2,2,1,2,1,98636.0825833169,TRUE,2,1,0,0,2,0,0,0,49318.04129165845,1,0,0,1,0,0,283.1307512004246,141.5653756002123
BLM - BLM_5008,BLM - BLM_5008-WS-1,2005,43.78225,-123.90201,NA,OR,SPENCER CREEK-JOHNSON CREEK,LOWER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,102600,OR,1,1,1,1,1,1,1,1,1,131857.4862937891,TRUE,1,1,0,0,1,0,0,0,131857.4862937891,1,0,0,1,0,0,0,0
BLM - BLM_5013,BLM - BLM_5013-WS-1,2005,43.60798,-123.6211,NA,OR,MEHL CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,48000,OR,1,1,1,1,1,1,1,1,1,61687.7128859832,TRUE,1,1,0,0,1,0,0,0,61687.7128859832,1,0,0,1,0,0,0,0
BLM - BLM_5047,BLM - BLM_5047-WS-1,2005,43.44261,-123.55189,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,221354,OR,1,1,1,1,2,2,1,2,1,284475.4582950818,TRUE,2,1,0,0,2,0,0,0,142237.7291475409,1,0,0,1,0,0,1659.8571456890718,829.9285728445359
BLM - BLM_5047,BLM - BLM_5047-WS-2,2005,43.42767,-123.55194,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,221354,OR,1,1,1,1,2,2,1,2,1,284475.4582950818,TRUE,2,1,0,0,2,0,0,0,142237.7291475409,1,0,0,1,0,0,1659.8571456890718,829.9285728445359
BLM - BLM_5048,BLM - BLM_5048-WS-1,2005,43.74534,-123.20411,NA,OR,UPPER PASS CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,96960,OR,1,1,1,1,1,1,1,1,1,124609.18002968606,TRUE,1,1,0,0,1,0,0,0,124609.18002968606,1,0,0,1,0,0,0,0
BLM - BLM_5050,BLM - BLM_5050-WS-1,2005,43.1435,-123.12578,NA,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,194597,OR,1,1,1,1,1,1,1,1,1,250088.4138432015,TRUE,1,1,0,0,1,0,0,0,250088.4138432015,1,0,0,1,0,0,0,0
BLM - BLM_5051,BLM - BLM_5051-WS-1,2005,42.94083,-123.17283,NA,OR,SHIVELY CREEK,SOUTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,257966,OR,1,1,1,1,1,1,1,1,1,331527.76129886543,TRUE,1,1,0,0,1,0,0,0,331527.76129886543,1,0,0,1,0,0,0,0
BLM - BLM_5053,BLM - BLM_5053-WS-1,2005,43.04954,-123.16142,NA,OR,LOWER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,205681,OR,1,1,1,1,1,1,1,1,1,264333.1348771231,TRUE,1,1,0,0,1,0,0,0,264333.1348771231,1,0,0,1,0,0,0,0
BLM - BLM_5054,BLM - BLM_5054-WS-1,2005,43.14066,-123.08859,NA,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,209016,OR,1,1,1,1,1,1,1,1,1,268619.14576201385,TRUE,1,1,0,0,1,0,0,0,268619.14576201385,1,0,0,1,0,0,0,0
BLM - BLM_5065,BLM - BLM_5065-WS-1,2005,42.53517,-123.73007,NA,OR,NORTH FORK SILVER CREEK,SILVER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,71000,OR,1,1,1,1,1,1,1,1,1,91246.40864385015,TRUE,1,1,0,0,1,0,0,0,91246.40864385015,1,0,0,1,0,0,0,0
BLM - BLM_5066,BLM - BLM_5066-WS-1,2005,42.53307,-123.73309,NA,OR,NORTH FORK SILVER CREEK,SILVER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,78000,OR,1,1,1,1,1,1,1,1,1,100242.5334397227,TRUE,1,1,0,0,1,0,0,0,100242.5334397227,1,0,0,1,0,0,0,0
BLM - BLM_5068,BLM - BLM_5068-WS-1,2005,42.30846,-123.5776,NA,OR,LOWER DEER CREEK,DEER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,120000,OR,1,1,1,1,1,1,1,1,1,154219.282214958,TRUE,1,1,0,0,1,0,0,0,154219.282214958,1,0,0,1,0,0,0,0
BLM - BLM_5069,BLM - BLM_5069-WS-1,2005,42.2146,-123.52168,NA,OR,MCMULLIN CREEK,DEER CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,120000,OR,1,1,1,1,1,1,1,1,1,154219.282214958,TRUE,1,1,0,0,1,0,0,0,154219.282214958,1,0,0,1,0,0,0,0
BLM - BLM_5086,BLM - BLM_5086-WS-1,2005,43.99084,-123.45136,NA,OR,UPPER WILDCAT CREEK,WILDCAT CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,fishpass_culvrem,2500,OR,1,1,1,1,3,3,1,3,1,3212.9017128116247,TRUE,3,0,0,1,0,0,3,0,1070.967237603875,0,0,1,0,0,1,627.876023908139,282.348920068241
BLM - BLM_5086,BLM - BLM_5086-WS-2,2005,43.98982,-123.45299,NA,OR,UPPER WILDCAT CREEK,WILDCAT CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,fishpass_culvrem,2500,OR,1,1,1,1,3,3,1,3,1,3212.9017128116247,TRUE,3,0,0,1,0,0,3,0,1070.967237603875,0,0,1,0,0,1,627.876023908139,282.348920068241
BLM - BLM_5086,BLM - BLM_5086-WS-3,2005,43.98588,-123.45511,NA,OR,UPPER WILDCAT CREEK,WILDCAT CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,fishpass_culvrem,2500,OR,1,1,1,1,3,3,1,3,1,3212.9017128116247,TRUE,3,0,0,1,0,0,3,0,1070.967237603875,0,0,1,0,0,1,627.876023908139,282.348920068241
BLM - BLM_5087,BLM - BLM_5087-WS-1,2005,43.96642,-123.53074,NA,OR,LOWER WOLF CREEK,WOLF CREEK,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,fishpass_culvrem,4000,OR,1,1,1,1,1,1,1,1,1,5140.6427404986,TRUE,1,0,0,1,0,0,1,0,5140.6427404986,0,0,1,0,0,1,0,0
BLM - BLM_5088,BLM - BLM_5088-WS-1,2005,43.82506,-123.39832,NA,OR,SIUSLAW RIVER-SIUSLAW FALLS,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,fishpass_culvrem,1000,OR,1,1,1,1,2,2,1,2,1,1285.16068512465,TRUE,2,0,0,1,0,0,2,0,642.580342562325,0,0,1,0,0,1,21.991000823962217,10.995500411981109
BLM - BLM_5088,BLM - BLM_5088-WS-2,2005,43.82489,-123.39818,NA,OR,SIUSLAW RIVER-SIUSLAW FALLS,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,fishpass_culvrem,1000,OR,1,1,1,1,2,2,1,2,1,1285.16068512465,TRUE,2,0,0,1,0,0,2,0,642.580342562325,0,0,1,0,0,1,21.991000823962217,10.995500411981109
BLM - BLM_5102,BLM - BLM_5102-WS-1,2006,43.69023,-124.03314,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,37340,OR,1,1,1,1,1,1,1,1,1,46576.455899293556,TRUE,1,1,0,0,1,0,0,0,46576.455899293556,1,0,0,1,0,0,0,0
BLM - BLM_5112,BLM - BLM_5112-WS-1,2007,43.86589,-123.52549,NA,OR,SIUSLAW RIVER-SIUSLAW BEND,UPPER SIUSLAW RIVER,NORTHERN OREGON COASTAL,NORTHERN OREGON COASTAL,BLM,fishpass_culvrem,1500,OR,0,1,0,0,1,1,1,0,0,1822.1068850863676,TRUE,1,0,0,1,0,0,1,0,1822.1068850863676,0,0,1,0,0,1,0,0
BLM - BLM_5113,BLM - BLM_5113-WS-1,2007,44.12193,-122.80274,NA,OR,CAMP CREEK,LOWER MCKENZIE RIVER,WILLAMETTE,WILLAMETTE,BLM,fishpass_culvimp,143700,OR,0,1,0,0,1,1,1,0,0,174557.839591274,TRUE,1,1,0,0,1,0,0,0,174557.839591274,1,0,0,1,0,0,0,0
BLM - BLM_5142,BLM - BLM_5142-WS-1,2006,42.70527,-123.16982,NA,OR,UPPER GRAVE CREEK,GRAVE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,127000,OR,1,1,1,1,1,1,1,1,1,158414.83393707237,TRUE,1,1,0,0,1,0,0,0,158414.83393707237,1,0,0,1,0,0,0,0
BLM - BLM_5143,BLM - BLM_5143-WS-1,2006,42.73924,-123.26081,NA,OR,COW CREEK-QUINES CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,180000,OR,1,1,1,1,1,1,1,1,1,224524.96148561436,TRUE,1,1,0,0,1,0,0,0,224524.96148561436,1,0,0,1,0,0,0,0
BLM - BLM_5144,BLM - BLM_5144-WS-1,2006,42.7632,-123.33239,NA,OR,COW CREEK-FORTUNE BRANCH,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,130000,OR,1,1,1,1,1,1,1,1,1,162156.91662849925,TRUE,1,1,0,0,1,0,0,0,162156.91662849925,1,0,0,1,0,0,0,0
